time,open,close,high,low,volume
1524753900000,1.48,1.48,1.48,1.48,20.0
1524754320000,1.15,1.15,1.15,1.15,900.0
1524755040000,1.3,1.3,1.3,1.3,85.77271392
1524755520000,1.29,1.29,1.29,1.29,36.14648972
1524756060000,1.1525,1.1525,1.1525,1.1525,16.07419674
1524756420000,1.2599,1.2599,1.2599,1.2599,100.0
1524756600000,1.2599,1.2599,1.2599,1.2599,89.0
1524756660000,1.2599,1.2599,1.2599,1.2599,38.01152169
1524756720000,1.2599,1.4809999999999999,1.4809999999999999,1.2599,5138.01769194
1524756840000,1.35,1.35,1.35,1.35,10.0
1524756900000,1.1525,1.125,1.1525,1.125,19.96
1524757080000,1.1251,1.1251,1.1251,1.1251,10.0
1524757200000,1.2299,1.2299,1.2299,1.2299,40.0
1524757320000,1.2299,1.2299,1.2299,1.2299,34.0
1524757620000,1.2269,1.2269,1.2269,1.2269,79.81453202
1524757860000,1.2298,1.2298,1.2298,1.2298,75.1411185
1524759120000,1.2048,1.2048,1.2048,1.2048,15.2
1524759180000,1.2048,1.2048,1.2048,1.2048,743.65681028
1524759240000,1.2048,1.2048,1.2048,1.2048,184.42402362
1524759360000,1.2048,1.208,1.208,1.2048,577.78860392
1524759540000,1.208,1.208,1.208,1.208,10.0
1524760740000,1.2,1.2,1.2,1.2,15.0
1524761100000,1.1503,1.15,1.1503,1.15,1566.87226361
1524761460000,1.2,1.2,1.2,1.2,12.68076021
1524761580000,1.1524,1.1523,1.1524,1.1523,500.0
1524761820000,1.199,1.199,1.199,1.199,38.0
1524762060000,1.1526,1.1526,1.1526,1.1526,12.66807945
1524762180000,1.185,1.185,1.185,1.185,591.04187034
1524762240000,1.185,1.185,1.185,1.185,808.9581296599998
1524762360000,1.185,1.185,1.185,1.185,186.60308818
1524762720000,1.188,1.188,1.188,1.188,775.01569911
1524764700000,1.188,1.1520000000000001,1.188,1.1520000000000001,2039.7109
1524765060000,1.155,1.155,1.155,1.155,407.0
1524765180000,1.155,1.155,1.155,1.155,402.0
1524765360000,1.1551,1.1551,1.1551,1.1551,417.0
1524765480000,1.155,1.155,1.155,1.155,1575.0
1524765540000,1.155,1.155,1.155,1.155,760.0
1524765600000,1.155,1.155,1.155,1.155,474.0
1524765780000,1.155,1.155,1.155,1.155,368.0
1524765840000,1.155,1.155,1.155,1.155,363.0
1524765900000,1.155,1.155,1.155,1.155,1059.0
1524766020000,1.1789,1.1789,1.1789,1.1789,10.0
1524766680000,1.186,1.186,1.186,1.186,37.5
1524766800000,1.179,1.179,1.179,1.179,26.91263782
1524766860000,1.1501,1.15,1.1501,1.15,398.34782608
1524766920000,1.151,1.1402,1.151,1.1402,75.62116849
1524768780000,1.1442,1.1442,1.1442,1.1442,226.65681028
1524769140000,1.178,1.178,1.178,1.178,12.85977959
1524769440000,1.1443,1.1443,1.1443,1.1443,373.0
1524769500000,1.1442,1.1441,1.1442,1.1441,351.7395361
1524770640000,1.1443,1.1443,1.1443,1.1443,21.155601899999997
1524770880000,1.1501,1.15,1.1501,1.15,800.0
1524771120000,1.1501,1.15,1.1501,1.15,360.0
1524771360000,1.178,1.178,1.178,1.178,100.0
1524771840000,1.178,1.1869,1.1869,1.178,3051.26016536
1524772140000,1.1795,1.1795,1.1795,1.1795,10.31
1524772320000,1.1731,1.1731,1.1731,1.1731,579.72563695
1524772560000,1.1732,1.1732,1.1732,1.1732,16.85605894
1524772620000,1.1732,1.1732,1.1732,1.1732,0.04394106
1524773160000,1.1504,1.1502,1.1504,1.1502,772.40705704
1524773580000,1.1721,1.1721,1.1721,1.1721,26.0
1524773760000,1.1721,1.1721,1.1721,1.1721,20.77947274
1524774840000,1.1615,1.1613,1.1615,1.1613,942.31308833
1524775380000,1.1604,1.1604,1.1604,1.1604,996.4
1524775560000,1.1605,1.158,1.1605,1.158,617.41
1524775620000,1.1721,1.1721,1.1721,1.1721,10.0
1524775860000,1.155,1.1520000000000001,1.155,1.1520000000000001,450.89162999999996
1524777240000,1.1603,1.1602,1.1603,1.1602,568.09551848
1524777300000,1.1601,1.1601,1.1601,1.1601,555.0
1524777360000,1.1541,1.1540000000000001,1.1541,1.1540000000000001,596.64691352
1524777720000,1.1721,1.1721,1.1721,1.1721,421.30097742
1524777780000,1.1721,1.1840000000000002,1.1840000000000002,1.1721,1269.12127096
1524777840000,1.1840000000000002,1.1840000000000002,1.1840000000000002,1.1840000000000002,100.0
1524778500000,1.1829,1.1829,1.1829,1.1829,349.52886809
1524780600000,1.157,1.157,1.157,1.157,96.92
1524780960000,1.1582,1.1582,1.1582,1.1582,1497.28
1524782520000,1.1792,1.1792,1.1792,1.1792,100.0
1524782640000,1.1792,1.1792,1.1792,1.1792,25.14695586
1524782700000,1.1792,1.1792,1.1792,1.1792,10.0
1524782760000,1.179,1.179,1.179,1.179,11.0
1524782940000,1.1593,1.1593,1.1593,1.1593,10.979000000000001
1524783120000,1.1789,1.1789,1.1789,1.1789,25.02502503
1524783420000,1.1789,1.1789,1.1789,1.1789,125.0
1524784800000,1.1787,1.1787,1.1787,1.1787,12.96830677
1524786300000,1.1787,1.1787,1.1787,1.1787,377.44020468
1524786960000,1.1785,1.1785,1.1785,1.1785,50.0
1524787020000,1.1785,1.1785,1.1785,1.1785,50.0
1524787560000,1.186,1.186,1.186,1.186,35.8858291
1524788160000,1.1607,1.1605,1.1607,1.1605,892.0
1524788220000,1.1605,1.1602,1.1605,1.1602,1158.0
1524788280000,1.1602,1.1595,1.1602,1.1595,2983.0
1524788520000,1.1597,1.159,1.1597,1.159,898.0
1524789000000,1.1593,1.1591,1.1593,1.1591,696.0
1524789180000,1.1592,1.1523,1.1592,1.1523,978.0
1524789540000,1.1526,1.1525,1.1526,1.1525,500.0
1524790020000,1.153,1.153,1.153,1.153,10.0
1524791580000,1.165,1.1540000000000001,1.165,1.1540000000000001,663.0
1524792120000,1.1829,1.1829,1.1829,1.1829,31.0
1524792780000,1.1605,1.1603,1.1605,1.1603,824.0
1524793620000,1.1609,1.1609,1.1609,1.1609,307.5846
1524793680000,1.1609,1.1605,1.1609,1.1605,762.0
1524794400000,1.1827,1.1827,1.1827,1.1827,20.0
1524794520000,1.1606,1.1601,1.1606,1.1601,1417.0
1524794640000,1.1825,1.1837,1.1837,1.1825,452.86348448
1524794700000,1.1622,1.1546,1.1622,1.1546,590.0
1524794880000,1.1548,1.1544,1.1548,1.1544,1855.0
1524796680000,1.1818,1.1819,1.1819,1.1818,178.91727034
1524797040000,1.1817,1.182,1.182,1.1817,2454.78900637
