time,open,close,high,low,volume
1538659020000,2.56329979,2.56329979,2.56329979,2.56329979,1093.4884279999999
1538659800000,2.61270872,2.61270872,2.61270872,2.61270872,1997.99865882
1538665320000,2.61000024,2.61000024,2.61000024,2.61000024,100.0
1538672220000,2.60651649,2.60651649,2.60651649,2.60651649,0.41818928
1538687340000,2.54940022,2.54940022,2.54940022,2.54940022,16824.11136904
1538690880000,2.59990046,2.59990046,2.59990046,2.59990046,0.005
1538692020000,2.61975954,2.61975954,2.61975954,2.61975954,465.0
1538699700000,2.60029362,2.60029362,2.60029362,2.60029362,34499.31017707
1538715300000,2.56609969,2.56609969,2.56609969,2.56609969,1095.0
1538715360000,2.56869968,2.56869968,2.56869968,2.56869968,1095.0
1538715480000,2.57220073,2.57220073,2.57220073,2.57220073,1095.0
1538715540000,2.56959957,2.56959957,2.56959957,2.56959957,1095.0
1538717520000,2.56399995,2.56399995,2.56399995,2.56399995,1095.0
1538755920000,2.63230008,2.63230008,2.63230008,2.63230008,948.83206867
1538755980000,2.63230008,2.63230008,2.63230008,2.63230008,5532.6239589
1538756100000,2.63059988,2.63059988,2.63059988,2.63059988,2741.74150917
1538758080000,2.61419947,2.61419947,2.61419947,2.61419947,4660.97811644
1538759880000,2.60700004,2.60700004,2.60700004,2.60700004,23.17547119
1538762220000,2.60320022,2.60320022,2.60320022,2.60320022,4594.08192503
1538777160000,2.64979291,2.65286348,2.65286348,2.64979291,26362.01851366
1538777220000,2.66116541,2.66116541,2.66116541,2.66116541,68861.1437673
1538780160000,2.64170024,2.64170024,2.64170024,2.64170024,9392.11524704
1538786460000,2.64630041,2.64630041,2.64630041,2.64630041,9390.20542262
1538797260000,2.63310035,2.63310035,2.63310035,2.63310035,8630.43773005
1538819220000,2.68850035,2.68850035,2.68850035,2.68850035,550.0
1538819520000,2.70890035,2.70750039,2.70890035,2.70689992,26779.05139957
1538819820000,2.7126999,2.7126999,2.7126999,2.7126999,7957.68409631
1538820720000,2.76459945,2.76459945,2.76459945,2.76459945,550.0
1538820780000,2.77740034,2.77509968,2.77740034,2.77509968,12775.84885429
1538820840000,2.77560007,2.76459945,2.77560007,2.76459945,23333.38421785
1538821620000,2.74100037,2.74100037,2.74100037,2.74100037,7866.09677951
1538823600000,2.72180018,2.72180018,2.72180018,2.72180018,7895.14135024
1538824980000,2.70740031,2.70740031,2.70740031,2.70740031,7939.086120669999
1538825760000,2.69118881,2.69118881,2.69118881,2.69118881,6666.02657264
1538826480000,2.68311434,2.68311434,2.68311434,2.68311434,1861.50721864
1538832000000,2.68540021,2.6793,2.68540021,2.6793,14315.29454162
1538832180000,2.65439991,2.65439991,2.65439991,2.65439991,7948.65010879
1538832240000,2.65460006,2.65460006,2.65460006,2.65460006,3812.06039789
1538832360000,2.64129992,2.64129992,2.64129992,2.64129992,7650.73935758
1538832900000,2.64839978,2.64839978,2.64839978,2.64839978,38.97768632
1538832960000,2.63399991,2.63399991,2.63399991,2.63399991,5893.65653812
1538834580000,2.63829986,2.63829986,2.63829986,2.63829986,3826.2
1538834640000,2.63580018,2.63580018,2.63580018,2.63580018,7650.93219781
1538834760000,2.63069961,2.62430031,2.63069961,2.62430031,22893.66450958
1538835060000,2.61100017,2.61100017,2.61100017,2.61100017,5183.0550828800015
