time,open,close,high,low,volume
1543940220000,1.04,1.04,1.04,1.04,5.0
1543940400000,1.04,1.045,1.045,1.04,193.94515998
1543940520000,1.045,1.045,1.045,1.045,3.76074056
1543942380000,1.0011,1.0011,1.0011,1.0011,50.0
1543952760000,1.0449,1.0449,1.0449,1.0449,2.05
1543971300000,1.01,1.01,1.01,1.01,143.55726966
1543978500000,1.025,1.025,1.025,1.025,45.33029311
1544013540000,1.0293,1.0152,1.0297,1.0152,999.0
1544065260000,1.0169,1.0169,1.0169,1.0169,499.0
1544096760000,1.0293,1.0293,1.0293,1.0293,10.0
1544100300000,1.0293,1.0293,1.0293,1.0293,10.0
1544100360000,1.0148,1.0148,1.0148,1.0148,19.96
1544104800000,1.0293,1.0173,1.0293,1.0173,2280.0
1544201040000,1.0288,1.0288,1.0288,1.0288,1174.86654046
1544202000000,1.0166,1.0165,1.0166,1.0165,1172.51680738
1544210400000,1.0277,1.0277,1.0277,1.0277,6598.913727380002
1544211120000,1.0264,1.0267,1.0267,1.0264,5756.456560430001
1544309940000,1.03,1.0432,1.047,1.03,201856.86091874
1544310000000,1.047,1.047,1.047,1.047,25108.31699753
1544329620000,1.0465,1.0465,1.0465,1.0465,15.94220567
1544329740000,1.0155,1.0155,1.0155,1.0155,15.91032126
1544373000000,1.0171,1.0151,1.0171,1.0151,5935.00407011
1544382600000,1.0431,1.0469,1.0469,1.0431,5000.0
1544398020000,1.0453,1.0453,1.0453,1.0453,100.0
1544398080000,1.0453,1.0453,1.0453,1.0453,200.0
1544398260000,1.0158,1.0158,1.0158,1.0158,299.4
1544410680000,1.0453,1.0453,1.0453,1.0453,10.0
1544423520000,1.0417,1.0469,1.0469,1.0417,5150.0
1544434740000,1.0443,1.0443,1.0443,1.0443,10.0
1544449980000,1.0172,1.0172,1.0172,1.0172,20.34
1544508120000,1.0390000000000001,1.0390000000000001,1.0390000000000001,1.0390000000000001,50000.0
1544508300000,1.036,1.036,1.036,1.036,65725.0
1544517540000,1.036,1.036,1.036,1.036,115493.0
1544520180000,1.035,1.035,1.035,1.035,115262.0
1544523840000,1.034,1.034,1.034,1.034,50000.0
1544523900000,1.0212,1.0212,1.0212,1.021,72843.18570222
1544535420000,1.031,1.031,1.031,1.031,99463.0
1544545200000,1.0295,1.0290000000000001,1.0295,1.0290000000000001,76034.0
1544545740000,1.0288,1.0288,1.0288,1.0288,34600.0
1544548620000,1.0288,1.0288,1.0288,1.0288,3900.0
1544549880000,1.0453,1.0453,1.0453,1.0453,988.88390846
1544550480000,1.0190000000000001,1.0190000000000001,1.0190000000000001,1.0190000000000001,998.01111609
1544557620000,1.0464,1.0464,1.0464,1.0464,10.0
1544557740000,1.0463,1.0463,1.0463,1.0463,250.0
1544561220000,1.0464,1.0464,1.0464,1.0464,20.0
1544585280000,1.0464,1.0464,1.0464,1.0464,78.03839304
1544592420000,1.0464,1.0464,1.0464,1.0464,236.54843424
1544614620000,1.0170000000000001,1.0169,1.0170000000000001,1.0169,9950.0
1544684820000,1.0229,1.0229,1.0229,1.0229,3310.6382064
1544684880000,1.0229,1.0241,1.0241,1.0229,1989.2217936
1544684940000,1.0241,1.024,1.0241,1.024,1645.56708
1544764380000,1.028,1.028,1.028,1.028,15000.0
1544764440000,1.0290000000000001,1.0290000000000001,1.0290000000000001,1.0290000000000001,98263.82
1544770320000,1.0298,1.0298,1.0298,1.0298,111309.39
1544817420000,1.0257,1.0257,1.0257,1.0257,657.00787485
1544836860000,1.0441,1.0441,1.0441,1.0441,10.0
1544884020000,1.046,1.046,1.046,1.046,10.0
1544898960000,1.0457,1.0457,1.0457,1.0457,85.67596717
1545018720000,1.0308,1.0308,1.0308,1.0308,82.46513915
1545048660000,1.045,1.045,1.045,1.045,1319.81677077
1545048720000,1.045,1.047,1.047,1.045,36930.884434199994
1545057720000,1.036,1.036,1.036,1.036,25000.0
1545057780000,1.036,1.036,1.036,1.036,25000.0
1545057960000,1.036,1.036,1.036,1.036,50000.0
1545058020000,1.036,1.036,1.036,1.036,23500.55
1545073260000,1.0351,1.0351,1.0351,1.0351,85.50461524
1545075660000,1.0465,1.0465,1.0465,1.0465,100.0
1545076740000,1.035,1.0367,1.0367,1.035,419.89703648
1545077700000,1.038,1.038,1.038,1.038,374.79120793
1545078360000,1.0383,1.0383,1.0383,1.0383,91.0722703
1545078900000,1.0396,1.0396,1.0396,1.0396,323.0986
1545079440000,1.0396,1.0408,1.0408,1.0396,22622.49706062
1545090960000,1.0347,1.0347,1.0347,1.0347,29.41
1545093840000,1.035,1.035,1.035,1.035,163.0
1545097860000,1.035,1.035,1.035,1.035,129924.04
1545111480000,1.035,1.035,1.035,1.035,56.70584689
1545111540000,1.035,1.0347,1.035,1.0347,318.408076
1545122160000,1.0347,1.0347,1.0347,1.0347,469.46362037
1545122220000,1.0347,1.0347,1.0347,1.0347,109.9677506
1545122580000,1.0347,1.0347,1.0347,1.0347,2195.71875936
1545123540000,1.0416,1.0416,1.0416,1.0416,10.0
1545132120000,1.0401,1.0289,1.0401,1.0289,29.96
1545135900000,1.0413,1.0388,1.0413,1.0388,24010.0
1545135960000,1.0379,1.038,1.038,1.0379,24000.0
1545136440000,1.0413,1.0312,1.0413,1.0312,234.37629047
1545141060000,1.0409,1.041,1.041,1.0409,4101.93770038
1545149940000,1.0405,1.0405,1.0405,1.0405,88897.6
1545158880000,1.0405,1.0405,1.0405,1.0405,58608.59547711
1545170640000,1.0389,1.0389,1.0389,1.0389,100.0
1545170820000,1.0305,1.0305,1.0305,1.0305,99.8
1545196020000,1.0355,1.0355,1.0355,1.0355,35000.0
1545196260000,1.0355,1.0355,1.0355,1.0355,61584.85
1545242220000,1.036,1.036,1.036,1.036,53980.83
1545242280000,1.036,1.036,1.036,1.036,99000.0
1545244620000,1.038,1.038,1.038,1.038,10.0
1545244680000,1.0317,1.0317,1.0317,1.0317,18.73321908
1545246660000,1.038,1.038,1.038,1.038,51.67150695
1545286560000,1.036,1.036,1.036,1.036,82674.86
1545286620000,1.035,1.035,1.035,1.035,70000.0
1545303420000,1.0335,1.0335,1.0335,1.0335,29.55465335
1545311460000,1.0381,1.0381,1.0381,1.0381,10.0
1545313500000,1.0393,1.0393,1.0393,1.0393,10.0
1545318780000,1.0395,1.0395,1.0395,1.0395,25.0
1545329640000,1.0393,1.0394,1.0394,1.0393,6041.904627370001
1545339120000,1.0337,1.0337,1.0337,1.0337,51.61983544
1545347280000,1.0395,1.0395,1.0395,1.0395,50.0
1545347460000,1.0294,1.0294,1.0294,1.0294,49.9
1545401400000,1.0322,1.0322,1.0322,1.0322,24.22245906
1545401580000,1.0323,1.0314,1.0323,1.0314,29.7930192
1545403620000,1.0384,1.0385,1.0385,1.0384,2466.31621825
1545405900000,1.0315,1.0293,1.0315,1.0293,413.41331431
1545417960000,1.032,1.032,1.032,1.032,24.22715379
1545419340000,1.0298,1.0298,1.0298,1.0298,29.783944399999996
1545421860000,1.0393,1.0393,1.0393,1.0393,10.0
1545434520000,1.0394,1.04,1.04,1.0384,4896.136528800001
1545434640000,1.0411,1.0411,1.0411,1.0411,41.9111653
1545443640000,1.0382,1.0382,1.0382,1.0382,10.0
1545456300000,1.0326,1.0325,1.0326,1.0325,718.95505873
1545483360000,1.0419,1.0469,1.0469,1.0419,1883.55825135
1545500580000,1.0357,1.0354,1.0358,1.0354,1037.42435
1545506640000,1.0363,1.0363,1.0363,1.0363,38.98870983
1545508260000,1.0363,1.0363,1.0363,1.0363,97.91470945
1545509460000,1.0363,1.0363,1.0363,1.0363,0.36798231
1545519420000,1.0372,1.0372,1.0372,1.0372,657.71451986
1545562440000,1.0394,1.0394,1.0394,1.0394,24.05465216
1545562800000,1.0385,1.0385,1.0385,1.0385,31.32537313
1545577200000,1.0374,1.0374,1.0374,1.0374,10.0
1545598620000,1.0314,1.0314,1.0314,1.0314,184.37894540000002
1545610440000,1.0325,1.0325,1.0325,1.0325,27.9997896
1545610680000,1.037,1.037,1.037,1.037,111.4978345
1545611580000,1.0329,1.0329,1.0329,1.0329,111.27483883
1545615900000,1.0378,1.0378,1.0378,1.0378,861.4413286099998
1545616200000,1.0382,1.0379,1.0382,1.0379,3271.31181993
1545631560000,1.0329,1.0328,1.0329,1.0328,3896.95861876
1545631680000,1.033,1.033,1.033,1.033,2355.71341235
1545637680000,1.0323,1.0322,1.0323,1.0322,4101.4620576
1545651180000,1.035,1.035,1.035,1.035,245.11376644
1545651600000,1.0302,1.0302,1.0302,1.0302,244.62353891
1545665820000,1.03,1.0302,1.0303,1.03,961.03120747
1545665880000,1.0305,1.0304,1.0305,1.0304,172.09423525
1545665940000,1.0305,1.0308,1.0309,1.0304,5626.69221135
1545666660000,1.0298,1.0299,1.0299,1.0298,839.7374895500002
1545669840000,1.0278,1.0278,1.0278,1.0278,664.0856
1545677340000,1.025,1.0252,1.0253,1.025,1376.2418229
1545682200000,1.0296,1.0295,1.0296,1.0295,33.96753072
1545683760000,1.0208,1.0207,1.0208,1.0207,500.10191
1545696660000,1.0261,1.0261,1.0261,1.0261,45.91275658
1545697200000,1.0272,1.0276,1.0276,1.0272,1239.95895481
1545697500000,1.0302,1.0303,1.0303,1.0302,698.43603028
1545699180000,1.0285,1.0285,1.0286,1.0285,686.22955255
1545699720000,1.0292,1.0292,1.0292,1.0292,29.71690487
1545703320000,1.0285,1.0282,1.0285,1.0282,207.64765145
1545709800000,1.0294,1.0295,1.0296,1.0294,3368.56340167
1545710100000,1.03,1.0299,1.03,1.0299,685.0
1545711900000,1.0307,1.0307,1.0307,1.0307,37.78554511
1545725820000,1.0353,1.0353,1.0353,1.0353,1753.0
1545726060000,1.0303,1.0303,1.0303,1.0303,1749.49
1545741000000,1.0353,1.0353,1.0353,1.0353,5430.67816883
1545741060000,1.0353,1.0353,1.0353,1.0353,4426.02225875
1545741660000,1.0353,1.0353,1.0353,1.0353,200.97770580000002
1545741720000,1.0353,1.0353,1.0353,1.0353,150.24786569999998
1545744060000,1.0352,1.0352,1.0352,1.0352,24.15225582
1545744360000,1.0344,1.0344,1.0344,1.0344,30.0
1545744720000,1.0344,1.0341,1.0355,1.0341,5246.81614663
