time,open,close,high,low,volume
1543938600000,1.03,1.03,1.03,1.03,1.0
1543945080000,1.03,1.03,1.03,1.03,10.0
1543947780000,1.03,1.047,1.047,1.03,1000.0
1543952640000,1.04,1.04,1.04,1.04,2.1
1543965300000,1.047,1.047,1.047,1.047,30.0
1544013180000,1.044,1.044,1.044,1.044,100.0
1544013240000,1.044,1.044,1.044,1.044,100.0
1544013420000,1.0152,1.0152,1.0152,1.0152,199.6
1544014320000,1.018,1.018,1.018,1.018,199.6
1544038800000,1.044,1.044,1.044,1.044,9.93895114
1544041200000,1.0173,1.0173,1.0173,1.0173,9.91907324
1544053620000,1.0170000000000001,1.0170000000000001,1.0170000000000001,1.0170000000000001,600.0
1544054340000,1.0170000000000001,1.0170000000000001,1.0170000000000001,1.0170000000000001,900.0
1544054820000,1.0170000000000001,1.0170000000000001,1.0170000000000001,1.0170000000000001,500.0
1544064720000,1.0183,1.0183,1.0183,1.0183,323.1032
1544065260000,1.0176,1.0172,1.0176,1.0172,379.3896
1544071500000,1.0297,1.0297,1.0297,1.0297,250.0
1544111220000,1.0299,1.0299,1.0299,1.0299,1322.6490875999998
1544114820000,1.0299,1.0299,1.0299,1.0299,7912.77220425
1544115000000,1.0299,1.0299,1.0299,1.0299,20.0
1544115360000,1.0299,1.0299,1.0299,1.0299,1318.63524341
1544115420000,1.0299,1.0299,1.0299,1.0299,1318.22760112
1544115600000,1.03,1.03,1.03,1.03,50.0
1544116740000,1.0164,1.0164,1.0164,1.0164,49.95
1544122560000,1.0299,1.0299,1.0299,1.0299,18797.0
1544139060000,1.0191,1.0191,1.0191,1.0191,289.76104886
1544151480000,1.014,1.011,1.014,1.011,791.8668
1544164080000,1.02,1.02,1.02,1.02,10.0
1544164140000,1.021,1.0223,1.0223,1.021,659.0
1544164200000,1.0213,1.0213,1.0213,1.0213,530.0
1544164320000,1.0204,1.0204,1.0204,1.0204,542.0
1544196780000,1.02,1.02,1.02,1.02,50.0
1544199720000,1.022,1.022,1.022,1.022,500.0
1544209800000,1.0252,1.0254,1.0254,1.0252,607.72499163
1544209920000,1.0267,1.0273,1.0298,1.0267,2449.46202382
1544213760000,1.0211,1.0211,1.0211,1.0211,485.91
1544214900000,1.0211,1.0209,1.0211,1.0209,1332.4707416899996
1544214960000,1.0206,1.0203,1.0206,1.0203,131.164
1544215980000,1.02,1.02,1.02,1.02,1000.0
1544220780000,1.0251,1.0251,1.0251,1.0251,673.9417
1544221800000,1.0253,1.0259,1.0259,1.0253,625.8456462199998
1544227740000,1.0277,1.028,1.028,1.0277,310.92744338
1544229540000,1.0177,1.0177,1.0177,1.0177,373.4256
1544230080000,1.0298,1.0298,1.0298,1.0298,1317.0193207999998
1544243580000,1.0168,1.0168,1.0168,1.0168,611.5560492100002
1544273400000,1.0204,1.0207,1.0207,1.0204,1350.70770799
1544309940000,1.0298,1.0490000000000002,1.0490000000000002,1.0298,303621.24901922
1544310000000,1.0490000000000002,1.0490000000000002,1.0490000000000002,1.0490000000000002,28634.39726754
1544373000000,1.0134,1.0134,1.0134,1.0134,65.19984832
1544375040000,1.0312,1.0312,1.0312,1.0312,57.09992416
1544375760000,1.033,1.033,1.033,1.033,28.54996208
1544410740000,1.043,1.043,1.043,1.043,11.0
1544434680000,1.036,1.036,1.036,1.036,10.0
1544457060000,1.0142,1.0142,1.0142,1.0142,30000.0
1544457120000,1.0142,1.0142,1.0142,1.0142,50000.0
1544457180000,1.0142,1.0142,1.0142,1.0142,50709.36
1544460000000,1.014,1.014,1.014,1.014,130630.1
1544461740000,1.0143,1.0143,1.0143,1.0143,81000.0
1544465340000,1.0143,1.0143,1.0143,1.0143,130503.95
1544488380000,1.0323,1.0326,1.0326,1.0323,750.0
1544488500000,1.0326,1.0326,1.0326,1.0326,250.0
1544488560000,1.0323,1.0326,1.0326,1.0323,500.0
1544488620000,1.0326,1.0326,1.0326,1.0326,1000.0
1544488680000,1.0325,1.0325,1.0325,1.0325,750.0
1544488800000,1.0326,1.0326,1.0326,1.0326,500.0
1544488860000,1.0323,1.0326,1.0326,1.0323,1750.0
1544488920000,1.0326,1.0326,1.0326,1.0326,500.0
1544488980000,1.0326,1.0326,1.0326,1.0326,1250.0
1544489280000,1.0322,1.0325,1.0325,1.0322,500.0
1544489520000,1.0314,1.0314,1.0314,1.0314,250.0
1544489580000,1.0317,1.0323,1.0323,1.0317,750.0
1544489640000,1.0323,1.0323,1.0323,1.0323,250.0
1544489760000,1.0315,1.0318,1.0318,1.0315,500.0
1544489880000,1.0313,1.0319,1.0319,1.0313,750.0
1544489940000,1.0313,1.0316,1.0319,1.0313,1000.0
1544490000000,1.0319,1.032,1.032,1.0319,1750.0
1544490060000,1.032,1.032,1.032,1.032,750.0
1544490120000,1.032,1.0311,1.032,1.0311,500.0
1544490180000,1.0311,1.0311,1.0311,1.0311,80.0
1544490240000,1.0313,1.0319,1.0319,1.0313,1000.0
1544490300000,1.0322,1.0313,1.0322,1.0313,600.0
1544490360000,1.0313,1.0319,1.0319,1.0313,650.0
1544490420000,1.0322,1.0322,1.0322,1.0322,500.0
1544490660000,1.0312,1.0314,1.0314,1.0312,500.0
1544490720000,1.0317,1.0317,1.0317,1.0317,250.0
1544490780000,1.0309,1.032,1.032,1.0309,1500.0
1544490840000,1.0312,1.0312,1.0314,1.0312,750.0
1544490900000,1.0314,1.0314,1.0314,1.0314,500.0
1544490960000,1.0314,1.0317,1.0317,1.0314,1000.0
1544491020000,1.0314,1.0317,1.0317,1.0314,760.0
1544491080000,1.0315,1.0315,1.0315,1.0315,1250.0
1544491140000,1.0315,1.0317,1.0317,1.0315,500.0
1544491200000,1.0317,1.0323,1.0323,1.0317,1000.0
1544491260000,1.0314,1.0317,1.0317,1.0314,500.0
1544491320000,1.0316,1.0316,1.0316,1.0316,1000.0
1544491380000,1.0308,1.0308,1.0308,1.0308,10.0
1544491440000,1.0308,1.0316,1.0316,1.0308,1000.0
1544491500000,1.0316,1.0316,1.0316,1.0316,250.0
1544491560000,1.0316,1.0316,1.0316,1.0316,236.18
1544506500000,1.035,1.035,1.035,1.035,130414.0
1544507640000,1.035,1.035,1.035,1.035,10.36
1544518380000,1.035,1.035,1.035,1.035,130153.0
1544520540000,1.035,1.035,1.035,1.035,129903.82
1544523780000,1.035,1.035,1.035,1.035,129644.0
1544535240000,1.0347,1.035,1.035,1.0347,60000.0
1544535300000,1.0329,1.032,1.033,1.032,71184.66
1544545320000,1.031,1.031,1.031,1.031,130923.0
1544546160000,1.034,1.0328,1.034,1.0328,2083.12813034
1544546220000,1.031,1.031,1.031,1.031,57.76990458
1544546340000,1.031,1.031,1.031,1.031,1169.82432988
1544546460000,1.0204,1.0204,1.0204,1.0204,10.0
1544547480000,1.0308,1.0308,1.0308,1.0308,130661.0
1544597040000,1.0285,1.0285,1.0285,1.0285,300.0
1544606580000,1.0334,1.0337,1.0337,1.0334,598.92379176
1544632860000,1.0478,1.0478,1.0478,1.0478,24.34753374
1544680200000,1.0190000000000001,1.0190000000000001,1.0190000000000001,1.0190000000000001,132.0
1544764260000,1.025,1.025,1.025,1.025,40000.0
1544764320000,1.028,1.028,1.028,1.028,90399.88
1544770380000,1.0290000000000001,1.0290000000000001,1.0290000000000001,1.0290000000000001,90219.0
1544772000000,1.0187,1.0151,1.0187,1.0151,2499.98
1544793720000,1.025,1.025,1.025,1.025,10.0
1544793840000,1.0270000000000001,1.0270000000000001,1.0270000000000001,1.0270000000000001,10.0
1544793900000,1.0270000000000001,1.0270000000000001,1.0270000000000001,1.0270000000000001,10.0
1544793960000,1.0271,1.0271,1.0271,1.0271,10.0
1544858340000,1.0335,1.0335,1.0335,1.0335,574.7663403
1544858520000,1.0161,1.0151,1.0161,1.0151,573.0
1544860920000,1.0243,1.023,1.0243,1.023,227.63925732
1544865840000,1.0299,1.0299,1.0299,1.0299,1721.04391865
1544895120000,1.031,1.0317,1.0317,1.031,24.07936015
1544924760000,1.0336,1.034,1.034,1.0336,357.73878713
1544924820000,1.0271,1.0271,1.0271,1.0271,357.0233095600001
1544928180000,1.0289,1.0289,1.0289,1.0289,28.35285751
1544940840000,1.0285,1.0285,1.0285,1.0285,300.0
1544940960000,1.0284,1.0285,1.0285,1.0284,2700.0
1544941020000,1.0285,1.0285,1.0285,1.0285,300.0
1544944140000,1.034,1.034,1.034,1.034,831.37321083
1544945940000,1.034,1.0365,1.0365,1.034,197.5689024
1544946660000,1.0365,1.0365,1.0365,1.0365,112.72793054
1544976480000,1.0218,1.0218,1.0218,1.0218,24.29883867
1545058320000,1.0355,1.0355,1.0355,1.0355,34.38821513
1545058740000,1.0356,1.0356,1.0356,1.0356,90038.0
1545078720000,1.038,1.038,1.038,1.038,23.930833399999997
1545079020000,1.038,1.0389,1.0389,1.038,71.523
1545087240000,1.036,1.036,1.036,1.036,104.41
1545088560000,1.036,1.0311,1.036,1.0311,6789.33031216
1545089940000,1.0331,1.0331,1.0331,1.0331,125.99281782
1545098220000,1.035,1.035,1.035,1.035,90020.0
1545105780000,1.0394,1.0394,1.0394,1.0394,27.29818164
1545106800000,1.0387,1.0387,1.0387,1.0387,27.53152187
1545149820000,1.034,1.034,1.034,1.034,90002.64
1545158760000,1.034,1.034,1.034,1.034,89822.63
1545181920000,1.0342,1.0342,1.0342,1.0342,464.82954977
1545182460000,1.035,1.035,1.035,1.035,8468.9392
1545182520000,1.035,1.0351,1.0351,1.035,6927.76365888
1545183300000,1.0348,1.0359,1.0359,1.0348,820.6681678
1545183360000,1.0359,1.0359,1.0359,1.0359,83.66139369
1545192780000,1.0347,1.0347,1.0347,1.0347,100.0
1545199020000,1.0352,1.0352,1.0352,1.0352,27.0
1545199680000,1.03,1.0274,1.03,1.0274,26.9
1545208020000,1.0354,1.0354,1.0354,1.0354,460.1041289
1545208080000,1.0357,1.0357,1.0357,1.0357,1325.15606567
1545208620000,1.0348,1.0348,1.0348,1.0348,233.94176038
