time,open,close,high,low,volume
1560577920000,0.0011,0.0011,0.0011,0.0011,21.18181818
1560578160000,1.4000000000000001e-05,1.4000000000000001e-05,1.4000000000000001e-05,1.4000000000000001e-05,21.13945454
1561526940000,8.3e-05,8.3e-05,8.3e-05,8.3e-05,4.0
1561933200000,6.657e-05,6.657e-05,6.657e-05,6.657e-05,7.74552472
1563307140000,7.748e-05,7.748e-05,7.748e-05,7.748e-05,7.336088
1564531800000,0.00016,0.00016,0.00016,0.00016,2.0
1566438600000,0.0001,0.00012723,0.00012723,0.0001,22.34549999
1566839100000,9.1e-05,9.1e-05,9.1e-05,9.1e-05,2.0
1568808000000,9.8e-05,9.8e-05,9.8e-05,9.8e-05,4.0
1569517920000,9.544e-05,9.544e-05,9.544e-05,9.544e-05,9.0
