time,open,close,high,low,volume
1527783360000,0.24,0.24,0.24,0.24,1.0
1527783780000,0.24,0.24,0.24,0.24,10.0
1527783840000,0.23,0.23,0.23,0.23,100.0
1527783900000,0.23,0.23,0.23,0.23,100.0
1527783960000,0.23,0.23,0.23,0.23,200.0
1527784020000,0.23,0.22999,0.23,0.22999,200.0
1527784140000,0.11,0.11,0.11,0.11,1.0
1527784200000,0.228,0.228,0.228,0.228,0.01
1527784320000,0.22,0.22,0.22,0.22,40.0
1527784440000,0.1282,0.1282,0.1282,0.1282,1.0
1527784500000,0.14,0.14,0.14,0.14,0.998
1527784560000,0.198,0.198,0.198,0.198,0.001
1527784740000,0.198,0.198,0.198,0.198,26.7
1527784860000,0.1977,0.1977,0.1977,0.1977,1000.0
1527784920000,0.1977,0.1977,0.1977,0.1977,150.0
1527784980000,0.1977,0.1977,0.1977,0.1977,30.0
1527785220000,0.1976,0.1976,0.1976,0.1976,1.0
1527785280000,0.1976,0.1976,0.1976,0.1976,1.0
1527785340000,0.14,0.16,0.16,0.131,9.977
1527786300000,0.16,0.16,0.16,0.16,108.77674993
1527786420000,0.13505,0.134,0.13505,0.134,1775.35155067
1527786480000,0.13101,0.131,0.13101,0.131,1058.60977687
1527788580000,0.132,0.132,0.132,0.132,200.0
1527788640000,0.132,0.132,0.132,0.132,11.72209897
1527793380000,0.13351,0.13351,0.13351,0.13351,774.57619912
1527794100000,0.1336,0.13352,0.1336,0.13352,899.0
1527794160000,0.13352,0.13352,0.13352,0.13352,100.0
1527794220000,0.139,0.139,0.139,0.139,1.0
1527794760000,0.1387,0.139,0.139,0.1387,500.0
1527795540000,0.139,0.139,0.139,0.139,131.63218647
1527795600000,0.139,0.139,0.139,0.139,445.51208161
1527795660000,0.145,0.1489,0.1489,0.145,500.0
1527795720000,0.1488,0.1488,0.1488,0.1488,200.0
1527796260000,0.1479,0.1479,0.1479,0.1479,119.59232048
1527796380000,0.13999,0.135,0.13999,0.135,499.0
1527796860000,0.135,0.135,0.135,0.135,282.0
1527796920000,0.135,0.135,0.135,0.135,3000.0
1527797220000,0.135,0.135,0.135,0.135,4800.0
1527798240000,0.1355,0.13351,0.1355,0.13351,523.0
1527798300000,0.13351,0.1319,0.13351,0.1319,405.96860205
1527799260000,0.147,0.1487,0.1487,0.147,300.0
1527800220000,0.1477,0.14800000000000002,0.14800000000000002,0.1477,11500.0
1527800700000,0.132,0.132,0.132,0.132,150.8065
1527801060000,0.132,0.1319,0.132,0.1319,4722.95343896
1527803880000,0.147,0.147,0.147,0.147,1000.0
1527804120000,0.1479,0.1479,0.1479,0.1479,500.0
1527805140000,0.13502,0.13501,0.13502,0.13501,800.0871551600002
1527805200000,0.13501,0.135,0.13501,0.135,786.63061995
1527811200000,0.125,0.125,0.125,0.125,200.0
1527811260000,0.125,0.125,0.125,0.125,1800.0
