time,open,close,high,low,volume
1527783540000,3.28e-06,3.28e-06,3.28e-06,3.28e-06,10.978
1527783600000,8.900000000000001e-06,8.900000000000001e-06,8.900000000000001e-06,8.900000000000001e-06,533.0
1527786900000,6.89e-06,6.89e-06,6.89e-06,6.89e-06,200.0
1527787620000,4.6e-06,4.51e-06,4.6e-06,4.51e-06,5010.978
1527790200000,5e-06,5e-06,5e-06,5e-06,2430.0
1527799800000,4.98e-06,5e-06,5e-06,4.98e-06,18880.23667639
1527804540000,4.96e-06,4.96e-06,4.96e-06,4.96e-06,2000.0
1527818880000,4.93e-06,4.93e-06,4.93e-06,4.93e-06,2021.67748478
1527820200000,4.94e-06,4.94e-06,4.94e-06,4.94e-06,1323.60526315
1527831120000,4.95e-06,4.95e-06,4.95e-06,4.95e-06,502.0
1527840360000,4.81e-06,4.81e-06,4.81e-06,4.81e-06,286.0
1527842580000,4.65e-06,4.65e-06,4.65e-06,4.65e-06,1397.71571446
1527842640000,4.64e-06,4.64e-06,4.64e-06,4.64e-06,401.6584878
1527842760000,4.64e-06,4.64e-06,4.64e-06,4.64e-06,401.6584878
1527847800000,4.52e-06,4.52e-06,4.52e-06,4.52e-06,5676.0
1527847980000,4.51e-06,4.5e-06,4.51e-06,4.5e-06,1400.51674796
1527849000000,4.54e-06,4.54e-06,4.54e-06,4.54e-06,2000.0
1527849300000,4.47e-06,4.47e-06,4.48e-06,4.47e-06,500000.0
1527849360000,4.48e-06,4.48e-06,4.48e-06,4.48e-06,100000.0
1527849720000,4.48e-06,4.48e-06,4.48e-06,4.48e-06,17847.66502765
1527849780000,4.48e-06,4.48e-06,4.48e-06,4.48e-06,7028.11591026
1527849900000,4.48e-06,4.48e-06,4.48e-06,4.48e-06,26222.0083285
1527850080000,4.48e-06,4.48e-06,4.48e-06,4.48e-06,28638.49075917
1527850380000,4.48e-06,4.5e-06,4.5e-06,4.48e-06,727044.7459999999
1527850800000,4.5e-06,4.5e-06,4.5e-06,4.5e-06,27120.4958743
1527850980000,4.5e-06,4.5e-06,4.5e-06,4.5e-06,1953.51
1527854040000,4.49e-06,4.49e-06,4.49e-06,4.49e-06,475000.0
1527855360000,4.49e-06,4.23e-06,4.49e-06,4.23e-06,8770.7446903
1527857040000,4.48e-06,4.49e-06,4.49e-06,4.48e-06,2000.0
1527858000000,4.49e-06,4.49e-06,4.49e-06,4.49e-06,277.27727728
1527858120000,4.49e-06,4.49e-06,4.49e-06,4.49e-06,277.27727728
1527858300000,4.49e-06,4.49e-06,4.49e-06,4.49e-06,4120.74044202
1527860760000,4.49e-06,4.49e-06,4.49e-06,4.49e-06,276.0
1527866640000,4.49e-06,4.49e-06,4.49e-06,4.49e-06,276.0
1527869820000,4.49e-06,4.5e-06,4.5e-06,4.49e-06,650000.0
1527886560000,4.56e-06,4.56e-06,4.56e-06,4.56e-06,2256.80043859
1527891600000,4.56e-06,4.56e-06,4.56e-06,4.56e-06,17743.19956141
1527894120000,4.58e-06,4.61e-06,4.61e-06,4.58e-06,10000.0
1527933960000,4.48e-06,4.48e-06,4.48e-06,4.48e-06,12256.80043859
1527946680000,4.46e-06,4.46e-06,4.46e-06,4.46e-06,490.31838565
1527956940000,4.45e-06,4.45e-06,4.45e-06,4.45e-06,500.0
1527970800000,4.27e-06,4.27e-06,4.27e-06,4.27e-06,790.96487119
1527971040000,4.22e-06,4.22e-06,4.22e-06,4.22e-06,287.04
1527971160000,4.01e-06,4.01e-06,4.01e-06,4.01e-06,11354.862
1527971220000,4.01e-06,4e-06,4.01e-06,4e-06,58801.76642893
1527971280000,3.85e-06,3.85e-06,3.85e-06,3.85e-06,209318.338094
1527972540000,4.01e-06,4e-06,4.01e-06,4e-06,4079.125
1527974880000,4.17e-06,4.16e-06,4.17e-06,4.16e-06,6829.3595467
1527976260000,4.14e-06,4.14e-06,4.14e-06,4.14e-06,2474.17441719
1527976320000,4.2000000000000004e-06,4.2000000000000004e-06,4.2000000000000004e-06,4.2000000000000004e-06,2658.463875
1527995340000,4.1e-06,4.1e-06,4.1e-06,4.1e-06,4429.5904673000005
1527997500000,4.15e-06,4.15e-06,4.15e-06,4.15e-06,4425.0
1527999060000,4.15e-06,4.15e-06,4.15e-06,4.15e-06,12545.71325301
1528033920000,4.19e-06,4.19e-06,4.19e-06,4.19e-06,9466.59591139
1528056180000,4.16e-06,4.16e-06,4.16e-06,4.16e-06,12533.16753976
1528072380000,4.12e-06,4.12e-06,4.12e-06,4.12e-06,2259.37620036
