time,open,close,high,low,volume
1535460660000,1.0,1.0,1.0,1.0,1109.73331165
1535461200000,0.02,0.02,0.02,0.02,5.0
1535461560000,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,3396.85479222
1535461740000,0.022199,0.022199,0.022199,0.022199,5.0
1535461860000,0.01761,0.01761,0.01761,0.01761,7106.12520778
1535461920000,0.01864,0.01864,0.01864,0.01864,3.77598873
1535461980000,0.018000000000000002,0.01762,0.018000000000000002,0.01762,4995.0
1535462280000,0.018001,0.018001,0.018001,0.018001,500.0
1535462340000,0.01875,0.01877,0.01877,0.01875,10000.0
1535462460000,0.0185,0.01877,0.01877,0.0185,7238.81948055
1535462580000,0.018001,0.018001,0.018001,0.018001,1000.0
1535462700000,0.0187,0.0187,0.0187,0.0187,6545.83295935
1535462820000,0.018698,0.0187,0.0187,0.018698,2050.0
1535463000000,0.0187,0.0187,0.0187,0.0187,968.31005347
1535463060000,0.0187,0.0187,0.0187,0.0187,2626.02132994
1535463840000,0.01875,0.0195,0.0195,0.01875,4500.0
1535463900000,0.01975,0.02,0.02,0.01975,3577.6969715000005
1535464140000,0.019799,0.019,0.01995,0.019,14419.77134892
1535464200000,0.0186,0.0186,0.0186,0.0186,7510.29579272
1535464380000,0.0186,0.0186,0.0186,0.0186,32097.03531881
1535464740000,0.01995,0.01995,0.01995,0.01995,5000.0
1535464800000,0.01995,0.021,0.021,0.01995,30910.69589357
1535464860000,0.0215,0.0225,0.0225,0.0215,4794.2
1535464920000,0.022999000000000002,0.02375,0.02375,0.022999000000000002,6349.23412036
1535464980000,0.02374,0.024,0.024,0.02374,2855.0
1535465040000,0.024,0.025,0.025,0.024,4956.292144
1535465100000,0.025499,0.025499,0.025499,0.025499,1167.51482332
1535465160000,0.0255,0.0275,0.0275,0.0255,5000.0
1535465220000,0.024,0.0274,0.0274,0.024,3000.0
1535465460000,0.026989999999999997,0.026989999999999997,0.026989999999999997,0.026989999999999997,508.20257000000004
1535465640000,0.025,0.025,0.025,0.025,482.6875788
1535465940000,0.01999,0.01999,0.01999,0.01999,16223.28818359
1535466000000,0.01999,0.01999,0.01999,0.01999,1001.053658
1535466240000,0.021999,0.021999,0.021999,0.021999,5000.0
1535466300000,0.021022,0.021,0.021022,0.021,11190.84160723
1535466420000,0.021,0.021,0.021,0.021,700.0
1535466660000,0.021,0.021,0.021,0.021,10000.0
1535466840000,0.02,0.02,0.02,0.02,2000.0
1535466960000,0.02,0.02,0.02,0.02,233.865869
1535467020000,0.01907,0.01907,0.01907,0.01907,256.03338965
1535467320000,0.01911,0.01911,0.01911,0.01911,9719.99
1535467440000,0.01917,0.01917,0.01917,0.01917,250.0
1535467560000,0.02,0.02,0.02,0.02,1000.0
1535467680000,0.0209,0.0209,0.0209,0.0209,10000.0
1535467740000,0.0195,0.0195,0.0195,0.0195,698.55002
1535468040000,0.020145,0.020145,0.020145,0.020145,1000.0
1535468220000,0.0203,0.0209,0.0209,0.0203,5596.39439999
1535469000000,0.0205,0.0205,0.0205,0.0205,1975.60975609
1535469060000,0.0195,0.0195,0.0195,0.0195,1000.0
1535469180000,0.0195,0.0195,0.0195,0.0195,114.35897435
1535469240000,0.01925,0.0195,0.0195,0.01925,1080.15346153
1535469360000,0.0195,0.0195,0.0195,0.0195,3392.0
1535469420000,0.0195,0.0195,0.0195,0.0195,9669.0
1535470680000,0.019499000000000002,0.0195,0.0195,0.019499000000000002,11000.0
1535470740000,0.0195,0.0195,0.0195,0.0195,18502.55960666
1535471580000,0.019499000000000002,0.019499000000000002,0.019499000000000002,0.019499000000000002,1479.00869172
1535472960000,0.01917,0.019,0.01917,0.019,5391.52
1535473020000,0.019,0.019,0.019,0.019,2935.9174687
1535473080000,0.0193,0.0209,0.0209,0.0193,155769.71356220002
1535473140000,0.023299,0.0233,0.0233,0.023299,11888.92812294
1535473680000,0.019030000000000002,0.019030000000000002,0.019030000000000002,0.019030000000000002,500.0
1535473800000,0.019030000000000002,0.019030000000000002,0.019030000000000002,0.019030000000000002,3100.0
1535473860000,0.019,0.019,0.019,0.019,6000.0
1535474520000,0.0195,0.0195,0.0195,0.0195,2500.0
1535474640000,0.02,0.0195,0.02,0.0195,257480.0
1535475060000,0.021447,0.02147,0.02147,0.021447,3120.949848630001
1535475360000,0.02147,0.0215,0.0215,0.02147,10000.0
1535475420000,0.021,0.021,0.021,0.021,79.99315461
1535475480000,0.021,0.0215,0.0215,0.021,15856.05195888
1535475540000,0.0215,0.0215,0.0215,0.0215,5215.52185209
1535476620000,0.0215,0.0215,0.0215,0.0215,4795.97690511
1535476740000,0.019119999999999998,0.0191,0.019119999999999998,0.0191,37719.06132731
1535477220000,0.0199,0.0199,0.0199,0.0199,1976.65740854
1535477880000,0.020821,0.020821,0.020821,0.020821,1012.5
