time,open,close,high,low,volume
1523117460000,2.7000000000000002e-05,2.7000000000000002e-05,2.7000000000000002e-05,2.7000000000000002e-05,2167.32885381
1523117880000,2.2800000000000002e-05,2.2800000000000002e-05,2.2800000000000002e-05,2.2800000000000002e-05,2649.90614035
1523123640000,2.449e-05,2.449e-05,2.449e-05,2.449e-05,1500.0
1523124540000,2.449e-05,2.449e-05,2.449e-05,2.449e-05,755.37259917
1523124660000,2.449e-05,2.449e-05,2.449e-05,2.449e-05,324.64100918
1523126760000,2.449e-05,2.449e-05,2.449e-05,2.449e-05,483.4774551
1523137500000,2.449e-05,2.449e-05,2.449e-05,2.449e-05,289.0
1523191380000,2.75e-05,2.75e-05,2.75e-05,2.75e-05,362.91054255
1523198340000,2.749e-05,2.749e-05,2.749e-05,2.749e-05,100.0
1523202480000,2.949e-05,2.949e-05,2.949e-05,2.949e-05,199.79757992
1523225940000,2.351e-05,2.349e-05,2.351e-05,2.349e-05,912.0
1523228520000,2.749e-05,2.749e-05,2.749e-05,2.749e-05,486.75
1523228820000,2.148e-05,2.148e-05,2.148e-05,2.148e-05,485.7765
1523233260000,2.75e-05,2.75e-05,2.75e-05,2.75e-05,753.58036363
1523238480000,2.75e-05,2.75e-05,2.75e-05,2.75e-05,424.37
1523238840000,2.231e-05,2.231e-05,2.231e-05,2.231e-05,423.52126
1523241420000,2.194e-05,2.194e-05,2.194e-05,2.194e-05,752.0732029
1523258160000,2.75e-05,2.75e-05,2.75e-05,2.75e-05,271.0
1523258220000,2.75e-05,2.75e-05,2.75e-05,2.75e-05,58.0
1523259120000,2.336e-05,2.336e-05,2.336e-05,2.336e-05,9670.62107611
1523261160000,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2727.1660300999997
1523267160000,2.6000000000000002e-05,2.6000000000000002e-05,2.6000000000000002e-05,2.6000000000000002e-05,399.78439979
1523268480000,2.729e-05,2.729e-05,2.729e-05,2.729e-05,320.0
1523272200000,2.748e-05,2.748e-05,2.748e-05,2.748e-05,70.23544395
1523272740000,2.519e-05,2.5e-05,2.519e-05,2.5e-05,14999.0
1523276280000,2.522e-05,2.522e-05,2.522e-05,2.522e-05,100.0
1523276880000,2.455e-05,2.457e-05,2.457e-05,2.455e-05,1010.35165303
1523277000000,2.421e-05,2.439e-05,2.439e-05,2.421e-05,11053.23787024
1523277060000,2.44e-05,2.444e-05,2.444e-05,2.44e-05,9155.44809704
1523277180000,2.429e-05,2.429e-05,2.429e-05,2.429e-05,767.62451877
1523277360000,2.45e-05,2.446e-05,2.45e-05,2.446e-05,16783.46
1523283000000,2.339e-05,2.339e-05,2.339e-05,2.339e-05,1196.02621709
1523283060000,2.344e-05,2.349e-05,2.349e-05,2.344e-05,4212.84917882
1523283120000,2.349e-05,2.349e-05,2.349e-05,2.349e-05,485.96
1523283180000,2.34e-05,2.341e-05,2.341e-05,2.34e-05,2389.47716389
1523283240000,2.342e-05,2.342e-05,2.342e-05,2.342e-05,1193.70211458
1523283300000,2.332e-05,2.332e-05,2.332e-05,2.332e-05,634.69494401
1523284200000,2.343e-05,2.343e-05,2.343e-05,2.343e-05,3042.78346556
1523286120000,2.344e-05,2.344e-05,2.344e-05,2.344e-05,60.0
1523286720000,2.344e-05,2.344e-05,2.344e-05,2.344e-05,214.99855362
1523290260000,2.344e-05,2.344e-05,2.344e-05,2.344e-05,90.69168241
1523291640000,2.344e-05,2.344e-05,2.344e-05,2.344e-05,235.9215017
1523291700000,2.344e-05,2.344e-05,2.344e-05,2.344e-05,139.03583617
1523291760000,2.344e-05,2.44e-05,2.44e-05,2.344e-05,2848.58402412
1523291880000,2.44e-05,2.522e-05,2.522e-05,2.44e-05,84.0
1523292000000,2.355e-05,2.382e-05,2.382e-05,2.355e-05,2812.1609174000005
1523292120000,2.396e-05,2.396e-05,2.396e-05,2.396e-05,147.83439365
1523292540000,2.411e-05,2.411e-05,2.411e-05,2.411e-05,1189.74459667
1523292720000,2.522e-05,2.522e-05,2.522e-05,2.522e-05,36.11958218
1523292840000,2.435e-05,2.443e-05,2.443e-05,2.435e-05,3726.14476395
1523292900000,2.452e-05,2.466e-05,2.466e-05,2.452e-05,5273.92872515
1523292960000,2.383e-05,2.404e-05,2.404e-05,2.383e-05,1283.33290018
1523293020000,2.443e-05,2.442e-05,2.443e-05,2.442e-05,1451.46541574
1523293080000,2.442e-05,2.442e-05,2.442e-05,2.442e-05,455.20101908
1523293560000,2.408e-05,2.384e-05,2.409e-05,2.384e-05,15594.58090734
1523293620000,2.387e-05,2.404e-05,2.409e-05,2.387e-05,8672.35928379
1523294100000,2.411e-05,2.411e-05,2.411e-05,2.411e-05,3254.18538404
1523294280000,2.389e-05,2.411e-05,2.411e-05,2.389e-05,2353.52596969
1523294400000,2.406e-05,2.406e-05,2.406e-05,2.406e-05,278.22384369
1523294580000,2.417e-05,2.418e-05,2.418e-05,2.417e-05,1197.94704565
1523294640000,2.415e-05,2.414e-05,2.415e-05,2.414e-05,2118.02636576
1523294700000,2.4100000000000003e-05,2.415e-05,2.415e-05,2.4100000000000003e-05,17815.48908076
1523294760000,2.415e-05,2.437e-05,2.437e-05,2.415e-05,2509.00789485
1523294820000,2.4100000000000003e-05,2.4100000000000003e-05,2.4100000000000003e-05,2.408e-05,1432.1419184
1523294880000,2.406e-05,2.408e-05,2.408e-05,2.406e-05,16910.10875876
1523295000000,2.437e-05,2.437e-05,2.437e-05,2.437e-05,401.60032827
1523295420000,2.437e-05,2.437e-05,2.437e-05,2.437e-05,675.14838494
1523295660000,2.393e-05,2.397e-05,2.397e-05,2.393e-05,1952.72810445
1523295720000,2.401e-05,2.405e-05,2.405e-05,2.401e-05,7396.56411813
1523295900000,2.453e-05,2.453e-05,2.453e-05,2.453e-05,1188.42674434
1523296080000,2.4100000000000003e-05,2.415e-05,2.415e-05,2.4100000000000003e-05,1980.20764571
1523296200000,2.4e-05,2.4e-05,2.4e-05,2.4e-05,1135.53416047
1523296260000,2.453e-05,2.453e-05,2.453e-05,2.453e-05,929.31114311
1523296440000,2.447e-05,2.447e-05,2.447e-05,2.447e-05,1100.0
1523296800000,2.417e-05,2.427e-05,2.427e-05,2.417e-05,2939.12770133
1523297700000,2.404e-05,2.404e-05,2.404e-05,2.404e-05,226.24173153
1523300400000,2.422e-05,2.399e-05,2.422e-05,2.399e-05,5594.582749740001
1523300460000,2.404e-05,2.413e-05,2.413e-05,2.404e-05,2991.14950091
1523301240000,2.385e-05,2.383e-05,2.385e-05,2.383e-05,1195.59226934
1523302560000,2.383e-05,2.383e-05,2.383e-05,2.383e-05,1195.59226427
1523311740000,2.307e-05,2.307e-05,2.307e-05,2.307e-05,619.21481837
1523315700000,2.383e-05,2.414e-05,2.414e-05,2.383e-05,61.50787582
1523315820000,2.415e-05,2.415e-05,2.415e-05,2.415e-05,828.91549359
1523315880000,2.415e-05,2.415e-05,2.415e-05,2.415e-05,177.34860463
1523333280000,2.469e-05,2.466e-05,2.469e-05,2.466e-05,2760.68885904
1523343240000,2.506e-05,2.507e-05,2.507e-05,2.506e-05,5791.31403818
1523343420000,2.51e-05,2.51e-05,2.51e-05,2.51e-05,3169.46396734
1523343480000,2.511e-05,2.511e-05,2.511e-05,2.511e-05,680.9238399999998
1523343660000,2.517e-05,2.519e-05,2.519e-05,2.514e-05,2597.959
1523343960000,2.495e-05,2.498e-05,2.498e-05,2.495e-05,1042.49003767
1523344200000,2.486e-05,2.486e-05,2.486e-05,2.486e-05,231.27466564
1523344620000,2.493e-05,2.492e-05,2.493e-05,2.492e-05,1771.98
1523349240000,2.515e-05,2.515e-05,2.515e-05,2.515e-05,1196.04685304
1523349420000,2.515e-05,2.515e-05,2.515e-05,2.515e-05,1137.51624612
1523349720000,2.508e-05,2.497e-05,2.51e-05,2.497e-05,1652.45888195
