time,open,close,high,low,volume
1539882180000,20000.0,20000.0,20000.0,20000.0,0.004
1539908160000,2.5215,2.5215,2.5215,2.5215,15.447000000000001
1539976200000,4.2,4.2,4.2,4.2,88.38101999999999
1540023660000,3.47,3.47,3.47,3.47,120.12024046
1540049580000,3.14,3.15,3.15,3.14,103.21587865
1540065420000,2.9317,2.9317,2.9317,2.9317,5.0
1540116300000,3.1,3.1,3.1,3.1,41.36323275
1540124940000,3.0,3.0,3.0,3.0,9.0
1540237740000,2.99,3.01,3.01,2.99,6.0
1540237800000,3.03,3.03,3.03,3.03,2.0
1540237860000,3.05,3.062,3.062,3.05,4.0
1540237920000,3.0810000000000004,3.11,3.11,3.0810000000000004,4.0
1540238340000,3.01,2.9513,3.01,2.9513,13.027363000000001
1540238700000,2.972,2.972,2.972,2.972,2.0
1540238820000,2.9730000000000003,2.9528,2.9730000000000003,2.9528,2.04381699
1540239360000,2.991,2.991,2.991,2.991,2.0
1540239720000,2.96,2.96,2.96,2.96,2.0
1540239780000,2.9908,2.9908,2.9908,2.9908,2.0
1540246380000,3.011,3.011,3.011,3.011,2.0
1540255260000,3.032,3.032,3.032,3.032,2.0
1540256040000,3.057,3.057,3.057,3.057,2.0
1540275420000,3.0780000000000003,3.0780000000000003,3.0780000000000003,3.0780000000000003,2.0
1540283880000,3.0428,3.0428,3.0428,3.0428,4.36024086
1540286220000,3.015,3.015,3.015,3.015,3.41870184
1540303560000,3.091,3.091,3.091,3.091,2.0
1540330860000,3.06,3.06,3.06,3.06,3.2683
1540377420000,3.1409,3.141,3.141,3.1409,6.49896
1540389720000,3.06,3.055,3.06,3.055,26.7317
1540521120000,3.156,3.1569,3.1569,3.156,6.44451253
1540533300000,3.17,3.17,3.17,3.17,2.0
1540537680000,3.194,3.194,3.194,3.194,2.0
1540539300000,3.1830000000000003,3.1830000000000003,3.1830000000000003,3.1830000000000003,4.8156
1540546380000,3.2110000000000003,3.2110000000000003,3.2110000000000003,3.2110000000000003,2.0
1540546500000,3.2119999999999997,3.2119999999999997,3.2119999999999997,3.2119999999999997,12.5648
1540546560000,3.23,3.2310000000000003,3.2310000000000003,3.23,4.0
1540546680000,3.2539999999999996,3.2710000000000004,3.2710000000000004,3.2539999999999996,4.0
1540551300000,3.2119999999999997,3.2119999999999997,3.2119999999999997,3.2119999999999997,2.6252
1540599660000,3.3,3.3,3.3,3.3,4.0
1540599780000,3.31,3.31,3.31,3.31,2.0
1540600860000,3.332,3.332,3.332,3.332,2.0
1540606200000,3.3510000000000004,3.3510000000000004,3.3510000000000004,3.3510000000000004,3.0
1540607340000,3.352,3.352,3.352,3.352,20.31903932
1540608180000,3.352,3.352,3.352,3.352,22.25652493
1540610040000,3.352,3.352,3.352,3.352,5.4417
1540611720000,3.352,3.352,3.352,3.352,5.9879999999999995
1540654380000,3.3619,3.3619,3.3619,3.3619,4.0
1540687860000,3.156,3.1058,3.156,3.1058,83.74055381
1540689780000,3.056,3.056,3.056,3.056,33.0
1540690620000,3.0239999999999996,3.0239999999999996,3.0239999999999996,3.0239999999999996,15.73
1540812480000,3.2309,3.2309,3.2309,3.2309,72.37337225
1540813800000,3.2286,3.2286,3.2286,3.2286,4.0
1540837680000,3.362,3.362,3.362,3.362,3.0
1540856820000,3.3201,3.3201,3.3201,3.3201,15.5415546
1540857060000,3.319,3.3181,3.319,3.3178,95.50896915
1540877460000,3.42,3.42,3.42,3.42,3.0
1540879680000,3.4841,3.4818,3.4841,3.4818,13.4154
1540883340000,3.4618,3.4618,3.4618,3.4618,4.4628
1540883820000,3.4618,3.4618,3.4618,3.4618,21.405366
1540883880000,3.4618,3.4618,3.4618,3.4618,4.4673
1540889700000,3.4618,3.4618,3.4618,3.4618,148.17816798
1540955820000,3.5299,3.53,3.53,3.5299,12.74055497
1540971780000,3.5512,3.6910000000000003,3.6910000000000003,3.5512,23.99342958
1540971960000,3.6910000000000003,3.85,3.85,3.6910000000000003,33.13031436
1540972020000,4.01,4.9,4.9,4.01,19.69296273
1540985640000,3.53,3.53,3.53,3.53,0.26844503
1540985760000,3.2,3.2,3.2,3.2,99.23701697
1540987560000,3.7510000000000003,3.7510000000000003,3.7510000000000003,3.7510000000000003,4.0
1540987620000,3.2489999999999997,3.7239999999999998,3.7239999999999998,3.2489999999999997,12.0
1540987680000,3.2521,3.2521,3.2521,3.2521,4.0
1540987800000,3.412,3.412,3.412,3.412,4.0
1540987920000,3.511,3.7110000000000003,3.7110000000000003,3.511,8.0
1540987980000,3.411,4.87,4.87,3.411,16.0
1540988040000,4.621,4.621,4.621,4.621,4.0
1540988460000,3.491,3.491,3.491,3.491,4.3
1540999440000,3.2411,3.2411,3.2411,3.2411,4.43935346
1541004300000,3.4981,3.611,3.611,3.4981,14.0
1541004420000,3.8110000000000004,4.231,4.231,3.8110000000000004,12.3
1541013120000,3.4121,3.531,3.531,3.4121,12.0
1541013180000,3.6414,4.32,4.32,3.6414,91.78440461
1541015700000,3.2777,3.2776,3.2777,3.2776,55.245461999999996
1541015880000,4.2856,4.29,4.29,4.2856,202.42
1541018940000,3.4,3.4,3.4,3.4,228.88851886
1541019300000,3.411,4.0101,4.0101,3.411,16.0
1541019360000,4.0,4.2,4.2,4.0,8.0
1541019480000,3.5011,3.611,3.611,3.5011,8.0
1541019540000,3.6011,3.6011,3.6011,3.6011,4.0
1541019660000,3.6011,3.6011,3.6011,3.6011,4.0
1541024220000,3.3402,3.2288,3.3402,3.2288,58.4453286
1541054100000,3.3018,3.3018,3.3018,3.3018,4.16810642
1541054280000,3.3135,3.3135,3.3135,3.3135,4.01032876
1541054400000,3.3171,3.3171,3.3171,3.3171,4.21413361
1541060400000,3.3485,3.3512,3.3512,3.3485,11.2236585
1541060460000,3.68,3.91,3.91,3.68,115.84308785
1541065680000,3.3375,3.3375,3.3375,3.3375,81.21236681
1541066460000,3.77,3.77,3.77,3.77,123.81671451
1541066940000,3.74,3.74,3.74,3.74,186.55279259
1541068920000,3.2919,3.2918,3.2919,3.2918,36.63952263
1541077560000,3.5577,3.5577,3.5577,3.5577,4.0
1541081460000,3.5403,3.5403,3.5403,3.5403,9.60356649
1541093580000,3.2849,3.2666,3.2849,3.2666,175.90248809000005
1541093640000,3.2546,3.2124,3.2546,3.1,669.16136189
1541093700000,3.2748,3.2678,3.2748,3.2678,144.17268751
1541104680000,3.3081,3.3081,3.3081,3.3081,8.7918
1541104740000,3.3077,3.3080000000000003,3.3080000000000003,3.3074,39.88051688
1541107080000,3.3221,3.4576,3.4576,3.3221,90.0
1541115240000,3.313,3.3101,3.313,3.3101,41.22489119
1541115900000,3.3435,3.3435,3.3435,3.3435,8.0
1541119200000,3.3727,3.3726,3.3727,3.3726,46.40101623
1541120280000,3.3953,3.3953,3.3953,3.3953,11.767000000000001
1541140740000,3.4276,3.4276,3.4276,3.4276,6.36756451
1541147580000,3.3852,3.3852,3.3852,3.3852,29.46488868
1541147700000,3.3692,3.3692,3.3692,3.3692,20.33578365
1541150100000,3.4,3.4,3.4,3.4,10.7223
1541154000000,3.4,3.4,3.4,3.4,109.98058029
1541154840000,3.4,3.4,3.4,3.4,79.25042058
1541165820000,3.3747,3.3747,3.3747,3.3747,65.40040859
1541191980000,3.3273,3.3273,3.3273,3.3273,35.67398517
1541199180000,3.3047,3.3047,3.3047,3.3047,4.0
1541203380000,3.3383,3.3383,3.3383,3.3383,38.70985181
1541212200000,3.25,3.25,3.25,3.25,5.0
1541240640000,3.2745,3.2745,3.2745,3.2745,8.0
1541242200000,3.2749,3.2749,3.2749,3.2749,8.0
1541306580000,3.3044,3.3044,3.3044,3.3044,6.874
1541313420000,3.29,3.29,3.29,3.29,64.48681654
1541346960000,3.29,3.29,3.29,3.29,235.51318345
1541351280000,3.238,3.2484,3.37,3.238,379.3515214
1541351340000,3.2515,3.252,3.252,3.2515,66.36579857
1541355300000,3.2056,3.2056,3.2056,3.2056,56.344770600000004
1541360220000,3.2439999999999998,3.2439999999999998,3.2439999999999998,3.2439999999999998,21.4509
1541365200000,3.2353,3.2353,3.2353,3.2353,7.82840611
1541413080000,3.2425,3.2425,3.2425,3.2425,4.0
1541458260000,3.0801,3.0801,3.0801,3.0801,9.58435936
1541466180000,3.09,3.09,3.09,3.09,183.38667176
1541468820000,3.4591,3.6101,3.6101,3.4591,37.42
1541495040000,3.0905,3.0905,3.0905,3.0905,61.6854
1541535840000,3.1641,3.1642,3.1642,3.1641,20.89835236
1541603520000,3.16,3.1264,3.16,3.1264,28.83746879
1541605140000,3.16,3.16,3.16,3.16,5.0
1541606400000,3.1696,3.1696,3.1696,3.1696,4.0
1541607240000,3.1709,3.1709,3.1709,3.1709,4.63811296
1541611560000,3.162,3.162,3.162,3.162,4.19340615
1541648580000,3.11,3.1056,3.11,3.1056,63.05844274
1541648820000,3.1056,3.1,3.1056,3.1,6.0187
1541659380000,3.1,3.1,3.1,3.1,17.0
1541692980000,3.0715,3.0715,3.0715,3.0715,8.0
1541694060000,3.0715,3.0364,3.0715,3.0364,63.68396282
1541727540000,3.0004,3.0,3.0004,3.0,64.52153303
1541756040000,3.1,3.1,3.1,3.1,1000.0
1541756100000,3.1399,3.14,3.14,3.1399,617.56061338
1541756160000,3.08,3.08,3.08,3.08,30.6072
1541756340000,3.08,3.07,3.08,3.07,975.93982492
1541756760000,3.07,3.07,3.07,3.07,31.8249
1541756820000,3.07,3.07,3.07,3.07,50.6785
1541756940000,3.07,3.07,3.07,3.07,16.0717
1541757300000,3.07,3.07,3.07,3.07,43.6457336
1541757420000,3.07,3.07,3.07,3.07,14.4989
1541757540000,3.07,3.07,3.07,3.07,38.33028579999999
1541757900000,3.07,3.07,3.07,3.07,672.96661508
1541758260000,3.09,3.09,3.09,3.09,700.0
1541758680000,3.09,3.1,3.1,3.09,450.0
1541758740000,3.1,3.1,3.1,3.1,476.90110779
1541759760000,3.1,3.1,3.1,3.1,100.0
1541759880000,3.1,3.1,3.1,3.1,72.0
1541760480000,3.1,3.1,3.1,3.1,28.92377507
1541761620000,3.0999,3.0999,3.0999,3.0975,236.5972
1541761980000,3.1,3.1,3.1,3.1,11.27648809
1541762040000,3.1274,3.1274,3.1274,3.1274,16.29987712
1541762100000,3.1254,3.1254,3.1254,3.1254,25.0
1541762400000,3.0999,3.0975,3.0999,3.0975,2094.41072844
1541763000000,3.0976,3.0976,3.0976,3.0976,200.0
1541763780000,3.0975,3.0975,3.0975,3.0975,1763.734
1541764620000,3.0975,3.08,3.0975,3.08,727.83439
1541766480000,3.08,3.07,3.08,3.07,475.94730557
1541767860000,3.06,3.06,3.06,3.06,338.161
1541768280000,3.06,3.06,3.06,3.06,212.51603619
1541768880000,3.06,3.06,3.06,3.06,341.158
1541769420000,3.09,3.09,3.09,3.09,550.0
1541773200000,3.09,3.09,3.09,3.09,10.0
1541773560000,3.06,3.06,3.06,3.06,9.98
1541774160000,3.06,3.05,3.06,3.05,344.01496381
1541774400000,3.05,3.05,3.05,3.05,157.800075
1541774640000,3.05,3.0,3.05,3.0,484.329925
1541775240000,3.0,2.9544,3.0,2.9544,199.88
1541777640000,2.97,2.97,2.97,2.97,27.16
1541777700000,2.97,2.97,2.97,2.97,203.39
1541777760000,2.97,2.97,2.97,2.97,50.901
1541777880000,2.97,2.97,2.97,2.97,100.41
1541777940000,2.97,2.97,2.97,2.97,112.42
1541778060000,2.97,2.97,2.97,2.97,288.62
1541778120000,2.97,2.97,2.97,2.97,121.0
1541778180000,2.97,2.97,2.97,2.97,35.425
1541778840000,2.97,2.97,2.97,2.97,49.71
1541780880000,2.97,2.97,2.97,2.97,51.61
