time,open,close,high,low,volume
1533844800000,0.3,0.3,0.3,0.3,30.0
1533846780000,0.29,0.29,0.29,0.29,500.0
1533846840000,0.28,0.28,0.28,0.28,1000.0
1533847320000,0.27,0.27,0.27,0.27,1000.0
1533847380000,0.29,0.29,0.29,0.29,500.0
1533847500000,0.3,0.3,0.3,0.3,10.0
1533847560000,0.3,0.3,0.3,0.3,50.0
1533847860000,0.3,0.3,0.3,0.3,100.0
1533848340000,0.3,0.3,0.3,0.3,100.0
1533848820000,0.3,0.3,0.3,0.3,1.0
1533848880000,0.3,0.3,0.3,0.3,1000.0
1533848940000,0.3,0.3,0.3,0.3,10000.0
1533849060000,0.27,0.028999999999999998,0.27,0.028999999999999998,39645.2
1533849120000,0.3,0.3,0.3,0.3,10.0
1533849600000,0.25,0.25,0.25,0.25,1600.0
1533849660000,0.24,0.23,0.28,0.23,2800.0
1533849720000,0.28,0.28,0.28,0.28,100.0
1533850500000,0.063,0.063,0.063,0.063,3800.0
1533850620000,0.0631,0.0631,0.0631,0.0631,10.0
1533850680000,0.22,0.2486,0.2486,0.22,19.98
1533850800000,0.2486,0.249,0.249,0.2486,2000.0
1533851400000,0.18,0.18,0.18,0.18,2.0
1533851460000,0.075,0.12,0.12,0.075,1.994
1533851520000,0.08,0.08,0.08,0.08,0.998006
1533852300000,0.2,0.2,0.2,0.2,10.0
1533858300000,0.079,0.079,0.079,0.079,2300.0
1533858600000,0.19899999999999998,0.2,0.2,0.19899999999999998,13205.0
1533858780000,0.2,0.2,0.2,0.2,4982.73584905
1533859020000,0.2419,0.243,0.243,0.2419,7500.0
1533859080000,0.2435,0.24600000000000002,0.24600000000000002,0.2435,12995.41371232
1533859140000,0.249,0.2749,0.2749,0.249,11990.0
1533859200000,0.278,0.28,0.28,0.278,6000.0
1533859260000,0.28,0.28,0.28,0.28,6000.0
1533859320000,0.2779,0.245,0.2779,0.245,9.17628768
1533859500000,0.24,0.24,0.24,0.24,1.0
1533859680000,0.24,0.28,0.28,0.24,22699.0
1533872820000,0.27992,0.27992,0.27992,0.27992,100.0
1533883560000,0.15320999999999999,0.15320999999999999,0.15320999999999999,0.15320999999999999,150.0
1533883620000,0.111,0.10545999999999998,0.111,0.10545999999999998,900.0
1533883860000,0.19789,0.26398,0.26398,0.19789,899.6
1533883920000,0.26398,0.26398,0.26398,0.26398,250.0
1533886800000,0.15258,0.14690999999999999,0.15258,0.14690999999999999,299.4976000000001
1533886860000,0.14160999999999999,0.14160999999999999,0.14160999999999999,0.14160999999999999,327.65
1533886980000,0.14163,0.14163,0.14163,0.14163,102.6069
1533888480000,0.19,0.19742,0.19742,0.19,3062.0
1533889020000,0.18,0.18,0.18,0.18,3000.0
1533890280000,0.146,0.146,0.146,0.146,2000.0
1533890520000,0.12,0.115,0.12,0.115,5000.0
1533890580000,0.125,0.115,0.125,0.115,115.01588488
1533890640000,0.16,0.16,0.16,0.16,65.0
1533890820000,0.115,0.115,0.115,0.115,2500.0
1533890880000,0.159,0.1578,0.159,0.1578,130.0
1533890940000,0.1576,0.1576,0.1576,0.1576,65.0
1533891120000,0.115,0.115,0.115,0.115,500.0
1533891360000,0.15,0.15,0.15,0.15,65.0
1533891480000,0.1075,0.1071,0.1075,0.1071,15000.0
1533891540000,0.1071,0.1071,0.1071,0.1071,10000.0
1533891600000,0.1071,0.149,0.149,0.1071,5863.90908366
1533891660000,0.12,0.135,0.135,0.12,200.0
1533891720000,0.149,0.149,0.149,0.149,100.0
1533891900000,0.10708,0.10708,0.10708,0.10708,130.5906
1533892320000,0.09762,0.0976,0.09762,0.0976,343.0278
1533892500000,0.09422,0.09,0.09422,0.09,6579.62603378
1533892560000,0.081,0.081,0.081,0.081,981.45309531
1533892980000,0.07001,0.07001,0.07001,0.07001,2047.54293186
1533893100000,0.1,0.1,0.1,0.1,5580.0
1533893160000,0.065,0.065,0.065,0.065,1237.83457051
1533894600000,0.1385,0.145,0.145,0.1385,365.0
1533894900000,0.067,0.066,0.067,0.066,34130.0
1533894960000,0.1,0.1,0.1,0.1,145.0
1533895020000,0.14711,0.14711,0.14711,0.14711,142.6
1533895440000,0.08900000000000001,0.08900000000000001,0.08900000000000001,0.08900000000000001,612.88640821
1533895500000,0.13,0.13,0.13,0.13,100.0
1533895560000,0.11,0.11,0.11,0.11,99.92
1533895620000,0.10665999999999999,0.10665999999999999,0.10665999999999999,0.10665999999999999,100.0
1533895680000,0.10665999999999999,0.10665999999999999,0.10665999999999999,0.10665999999999999,70.0
1533895800000,0.10665999999999999,0.10665999999999999,0.10665999999999999,0.10665999999999999,70.0
1533901440000,0.098888,0.098888,0.098888,0.098888,500.0
1533903180000,0.075015,0.075015,0.075015,0.075015,143.63999999
1533903240000,0.075015,0.075015,0.075015,0.075015,854.288
1533903360000,0.075015,0.075015,0.075015,0.075015,1998.19988255
1533903420000,0.077,0.075,0.077,0.075,5741.13740812
1533903480000,0.075,0.075,0.075,0.075,4661.48911956
1533904140000,0.0701,0.07,0.0701,0.07,101175.38969025
1533904320000,0.066,0.066,0.066,0.066,18870.0
1533904500000,0.065,0.065,0.065,0.065,569.0
1533904560000,0.065,0.065,0.065,0.065,1784.69954626
1533904620000,0.065,0.065,0.065,0.065,1408.46588323
1533905340000,0.06,0.06,0.06,0.06,1011.84025357
1533905580000,0.075,0.07400000000000001,0.075,0.07400000000000001,4320.0
1533905640000,0.075,0.1,0.1,0.075,1845.95176284
1533905700000,0.1185,0.12,0.12,0.1185,6993.0
1533907560000,0.08,0.08,0.08,0.08,180.0
1533910980000,0.08,0.08,0.08,0.08,700.0
1533911100000,0.073,0.0711,0.073,0.0711,213.03070804
1533912960000,0.08,0.08,0.08,0.08,2000.0
1533913080000,0.079,0.079,0.079,0.079,653.0
1533914700000,0.0789,0.0789,0.0789,0.0789,100.0
1533914760000,0.0789,0.0789,0.0789,0.0789,100.0
1533915000000,0.0789,0.0789,0.0789,0.0789,298.002
1533915060000,0.079,0.079,0.079,0.079,401.99800000000005
1533915120000,0.079,0.079,0.079,0.079,1000.0
1533915180000,0.085,0.085,0.085,0.085,100.0
1533915240000,0.085,0.085,0.085,0.085,100.0
1533915300000,0.085,0.085,0.085,0.085,100.0
1533915540000,0.085,0.085,0.085,0.085,100.0
1533916620000,0.09,0.09,0.09,0.09,100.0
1533918600000,0.09,0.09,0.09,0.09,155.74
1533918660000,0.09,0.09300000000000001,0.09300000000000001,0.09,1000.0
1533918720000,0.09300000000000001,0.09300000000000001,0.09300000000000001,0.09300000000000001,500.0
1533921240000,0.09300000000000001,0.09300000000000001,0.09300000000000001,0.09300000000000001,100.0
1533921300000,0.09300000000000001,0.09699999999999999,0.09699999999999999,0.09300000000000001,1000.0
1533921360000,0.09699999999999999,0.09699999999999999,0.09699999999999999,0.09699999999999999,3558.47708729
1533921420000,0.1,0.1,0.1,0.1,211.26068731
1533921480000,0.1099,0.085,0.1099,0.085,2136.17376383
1533921540000,0.1099,0.11,0.11,0.08,1563.14004648
1533921600000,0.0711,0.11800000000000001,0.11800000000000001,0.0711,637.04412372
1533921660000,0.11800000000000001,0.11849000000000001,0.11849000000000001,0.11800000000000001,800.0
1533921720000,0.07200000000000001,0.11800000000000001,0.1183,0.0658,7388.55791908
1533921960000,0.10800000000000001,0.10800000000000001,0.10800000000000001,0.10800000000000001,898.0
1533922020000,0.115,0.1185,0.1185,0.115,10000.0
1533922620000,0.081,0.0703,0.081,0.0703,18109.66514125
1533922680000,0.06713,0.055,0.06713,0.055,37942.57551745
1533923220000,0.0601,0.06,0.0601,0.06,2986.5
1533923340000,0.06,0.06,0.06,0.06,101.796
1533925320000,0.07400000000000001,0.0799,0.0799,0.07400000000000001,1327.32235
1533925500000,0.0799,0.08,0.08,0.0799,1499.0
1533925560000,0.0891,0.0891,0.0891,0.0891,100.0
1533928620000,0.08800000000000001,0.08800000000000001,0.08800000000000001,0.08800000000000001,1499.80247811
1533934260000,0.0603,0.0603,0.0603,0.0603,1696.2
1533942960000,0.083855,0.083855,0.083855,0.083855,2001.62
1533943020000,0.0838,0.0838,0.0838,0.0838,3000.81
1533943080000,0.0838,0.0838,0.0838,0.0838,3000.81
1533945360000,0.0837,0.0837,0.0837,0.0837,1300.0
1533965520000,0.078888,0.078888,0.078888,0.078888,150.0
1533968040000,0.078888,0.078888,0.078888,0.078888,1000.0
1533968880000,0.078888,0.078888,0.078888,0.078888,1000.0
1533972120000,0.060610000000000004,0.060501,0.060610000000000004,0.060501,12840.0
1533972180000,0.060501,0.05123,0.060501,0.05123,9854.83371957
1533972240000,0.05123099999999999,0.05,0.05123099999999999,0.05,12000.0
1533972300000,0.05,0.05,0.05,0.05,5000.0
1533972840000,0.055,0.055,0.055,0.055,1000.0
1533972900000,0.055,0.052000000000000005,0.055,0.052000000000000005,4000.0
1533972960000,0.052000000000000005,0.072888,0.072888,0.052000000000000005,750.0
1533973140000,0.07200000000000001,0.07200000000000001,0.07200000000000001,0.07200000000000001,150.0
1533973980000,0.0712,0.0712,0.0712,0.0712,150.0
1533976020000,0.055,0.055,0.055,0.055,1000.0
1533977160000,0.068,0.068,0.068,0.068,300.0
