time,open,close,high,low,volume
1525174320000,9.27e-06,9.27e-06,9.27e-06,9.27e-06,6017.98597626
1525174380000,9.13e-06,9.13e-06,9.13e-06,9.13e-06,77587.07806694
1525174440000,9.13e-06,9.05e-06,9.13e-06,9.05e-06,11696.0
1525175220000,9.18e-06,9.19e-06,9.19e-06,9.18e-06,100000.0
1525175280000,9.19e-06,9.16e-06,9.19e-06,9.16e-06,9900.0
1525175340000,9.15e-06,9.15e-06,9.15e-06,9.15e-06,11975.51038251
1525175520000,9.14e-06,9.14e-06,9.14e-06,9.14e-06,2000.0
1525175700000,9.14e-06,9.14e-06,9.14e-06,9.14e-06,5000.0
1525176480000,9.1e-06,9.1e-06,9.1e-06,9.1e-06,1459.73846154
1525176840000,9.09e-06,9.09e-06,9.09e-06,9.09e-06,500.0
1525176900000,9.09e-06,9.09e-06,9.09e-06,9.09e-06,1000.0
1525177140000,8.94e-06,8.85e-06,8.94e-06,8.85e-06,113975.0
1525177320000,8.89e-06,8.89e-06,8.89e-06,8.89e-06,1308.62020626
1525177440000,8.89e-06,8.71e-06,8.89e-06,8.71e-06,9394.07684556
1525177500000,9.08e-06,9.08e-06,9.08e-06,9.08e-06,7521.42400881
1525177560000,8.71e-06,8.61e-06,8.71e-06,8.61e-06,442.48662135
1525177740000,8.65e-06,8.65e-06,8.65e-06,8.65e-06,3551.75985234
1525178280000,9.04e-06,9.04e-06,9.04e-06,9.04e-06,10000.0
1525178340000,8.99e-06,8.98e-06,8.99e-06,8.98e-06,13900.0
1525178520000,8.94e-06,8.94e-06,8.94e-06,8.94e-06,1984.6230425
1525178760000,8.93e-06,8.93e-06,8.93e-06,8.93e-06,10000.0
1525179420000,8.92e-06,9.96e-06,9.96e-06,8.92e-06,78185.0
1525179480000,8.92e-06,8.92e-06,8.92e-06,8.92e-06,564.0
1525179540000,8.92e-06,8.92e-06,8.92e-06,8.92e-06,4522.34745957
1525179600000,9.5e-06,9.5e-06,9.5e-06,9.5e-06,6978.26632653
1525179720000,9.5e-06,8.93e-06,9.5e-06,8.93e-06,64348.729768499994
1525179780000,8.93e-06,8.93e-06,8.93e-06,8.93e-06,50000.0
1525179840000,8.82e-06,8.82e-06,8.82e-06,8.82e-06,120800.0
1525180080000,8.82e-06,8.7e-06,8.82e-06,8.68e-06,115737.0
1525183080000,8.76e-06,8.76e-06,8.76e-06,8.76e-06,102409.0
1525183140000,8.76e-06,8.76e-06,8.76e-06,8.76e-06,73645.0
1525183320000,8.76e-06,8.76e-06,8.76e-06,8.76e-06,41460.0
1525183380000,8.76e-06,8.76e-06,8.76e-06,8.76e-06,58454.0
1525184280000,9.09e-06,9.09e-06,9.09e-06,9.09e-06,886.43275488
1525184460000,8.8e-06,8.8e-06,8.8e-06,8.8e-06,50000.0
1525184520000,8.92e-06,8.92e-06,8.92e-06,8.92e-06,269.18721973
1525185060000,8.81e-06,8.71e-06,8.81e-06,8.71e-06,13947.0
1525185240000,8.7e-06,8.68e-06,8.7e-06,8.68e-06,11889.0
1525185960000,8.68e-06,8.68e-06,8.68e-06,8.68e-06,199.85423212
1525186200000,8.68e-06,8.599999999999999e-06,8.68e-06,8.599999999999999e-06,1055.47407873
1525186260000,8.599999999999999e-06,8.58e-06,8.599999999999999e-06,8.58e-06,4232.73382169
1525186740000,8.76e-06,8.76e-06,8.76e-06,8.76e-06,3700.0
1525186860000,8.74e-06,8.74e-06,8.74e-06,8.74e-06,16919.0
1525189200000,8.93e-06,8.93e-06,8.93e-06,8.93e-06,1088.655322
1525189440000,9.23e-06,9.23e-06,9.23e-06,9.23e-06,32943.72766416
1525189500000,9.17e-06,9.17e-06,9.17e-06,9.17e-06,200.09357998
1525190580000,9.17e-06,9.15e-06,9.17e-06,8.85e-06,23219.46736174
1525190700000,9.14e-06,9.14e-06,9.14e-06,9.14e-06,200.0
1525190940000,9.14e-06,9.14e-06,9.14e-06,9.14e-06,35000.0
1525191120000,9.13e-06,9.13e-06,9.13e-06,9.13e-06,1000.0
1525191180000,9.04e-06,9.04e-06,9.04e-06,9.04e-06,725.89674429
1525191240000,9.14e-06,9.14e-06,9.14e-06,9.14e-06,2999.43597865
1525191360000,9.4e-06,9.4e-06,9.4e-06,9.4e-06,15500.0
1525191540000,9.22e-06,9.22e-06,9.22e-06,9.22e-06,350.0
1525191660000,9.14e-06,8.98e-06,9.14e-06,8.98e-06,2000.56402135
1525192020000,9.02e-06,9.02e-06,9.02e-06,9.02e-06,199.8
1525192080000,9.11e-06,9.11e-06,9.11e-06,9.11e-06,17457.84851811
1525192560000,9.06e-06,8.97e-06,9.06e-06,8.97e-06,18246.0
1525193100000,8.94e-06,8.94e-06,8.94e-06,8.94e-06,15537.0
1525194000000,9.04e-06,9.04e-06,9.04e-06,9.04e-06,25000.0
1525194300000,9.03e-06,9.05e-06,9.05e-06,9.03e-06,100000.0
1525195560000,9.06e-06,9.06e-06,9.06e-06,9.06e-06,4996.04635761
1525195860000,9.05e-06,9.05e-06,9.05e-06,9.05e-06,50000.0
1525196340000,9.04e-06,9.04e-06,9.04e-06,9.04e-06,478.56747787
1525196640000,9.04e-06,9.04e-06,9.04e-06,9.04e-06,1000.0
1525197240000,9e-06,9e-06,9e-06,9e-06,1111.11111111
1525198680000,8.93e-06,8.94e-06,8.94e-06,8.93e-06,37000.0
1525198920000,8.93e-06,8.93e-06,8.93e-06,8.93e-06,1654.1229999999998
