time,open,close,high,low,volume
1525177320000,8.62969987,8.62969987,8.62969987,8.62969987,1577.84477538
1525179420000,8.77184024,8.77184024,8.77184024,8.77184024,580.696738
1525184460000,8.64018384,8.64018384,8.64018384,8.64018384,6.732e-05
1525185060000,8.56420053,8.56420053,8.56420053,8.56420053,3143.71403643
1525189920000,8.68490031,8.68490031,8.68490031,8.68490031,1463.71030907
1525198560000,8.63457019,8.63457019,8.63457019,8.63457019,272.56733402
1525203240000,8.67830776,8.6475492,8.67830776,8.6475492,16205.90524019
1525210200000,8.88022621,8.88022621,8.88022621,8.88022621,150.0
1525210260000,8.78903992,8.78794129,8.78903992,8.78794129,4912.79344425
1525222800000,9.11211653,9.11211653,9.11211653,9.11211653,0.04813674
1525241640000,9.03843274,9.03843274,9.03843274,9.03843274,1047.53298599
1525261740000,8.86830044,8.86830044,8.86830044,8.86830044,349.0
1525267320000,8.78288024,8.78288024,8.78288024,8.78288024,5771.97701056
1525270080000,8.73482416,8.73482416,8.73482416,8.73482416,403.53020616
1525270200000,8.72383696,8.72383696,8.72383696,8.72383696,2266.0
1525277580000,8.73750052,8.73750052,8.73750052,8.73750052,2822.95961004
1525281600000,8.82424722,8.82424722,8.82424722,8.82424722,1140.2508599999999
1525282260000,8.82509962,8.82509962,8.82509962,8.82509962,239.97233167
1525292340000,8.68739956,8.68739956,8.68739956,8.68739956,23.35064851
1525293240000,8.76557914,8.76557914,8.76557914,8.76557914,1371.90172996
1525293420000,8.79416016,8.82098235,8.82098235,8.79416016,16993.695011390002
1525303500000,9.00646992,9.00646992,9.00646992,9.00646992,4294.50037454
1525306140000,8.80979986,8.80979986,8.80979986,8.80979986,11010.42727533
1525310220000,8.78120055,8.78120055,8.78120055,8.78120055,3384.33323379
1525310820000,8.68752736,8.68752736,8.68752736,8.68752736,6063.090079860001
1525310880000,8.68752736,8.68752736,8.68752736,8.68752736,1169.27389
1525310940000,8.68752736,8.68752736,8.68752736,8.68752736,1383.64281
1525315860000,8.55558569,8.55558569,8.55558569,8.55558569,282.71767321
1525315980000,8.55558569,8.55558569,8.55558569,8.55558569,718.15564565
1525316520000,8.61465376,8.61465376,8.61465376,8.61465376,0.00119234
1525317540000,8.61500042,8.61500042,8.61500042,8.61500042,673.66466941
1525323780000,8.79169426,8.79169426,8.79169426,8.79169426,1367.24895
1525330020000,8.64955677,8.64955677,8.64955677,8.64955677,308.0
1525332000000,8.4762001,8.4762001,8.4762001,8.4762001,491.84916141
1525333500000,8.65299369,8.65299369,8.65299369,8.65299369,2323.9038800000003
1525333680000,8.92705652,8.92705652,8.92705652,8.92705652,473.74332000000004
1525334820000,8.99030011,8.99030011,8.99030011,8.99030011,357.556833
1525334880000,8.99039988,8.99640048,8.99640048,8.99039988,1341.2899419999999
1525336440000,8.88173108,8.85300252,8.88173108,8.85300252,379.81877
1525338000000,8.93600037,8.93600037,8.93600037,8.93600037,932.86490822
1525341300000,8.709400500000001,8.709400500000001,8.709400500000001,8.709400500000001,455.14324096
1525344480000,8.84428615,8.84428615,8.84428615,8.84428615,0.00039641
1525350660000,8.67299984,8.67299984,8.67299984,8.67299984,634.3699574
1525351740000,8.74836196,8.74836196,8.74836196,8.74836196,26720.32546514
1525353600000,8.80259442,8.80259442,8.80259442,8.80259442,0.00052487
1525356060000,8.86649975,8.86649975,8.86649975,8.86649975,313.372
1525357020000,8.76679912,8.76679912,8.76679912,8.76679912,1174.3293
1525364040000,8.83734276,8.83734276,8.83734276,8.83734276,1175.08813
1525366680000,8.69335194,8.69335194,8.69335194,8.69335194,10906.59374393
1525367040000,8.7367996,8.7367996,8.7367996,8.7367996,4000.0
1525367460000,8.7367996,8.7367996,8.7367996,8.7367996,786.8709
1525368960000,8.77799168,8.77799168,8.77799168,8.77799168,53240.35604317
1525369080000,8.75615588,8.75615588,8.75615588,8.75615588,10783.88284
1525370520000,8.69509992,8.69509992,8.69509992,8.69509992,6858.74065554
1525382700000,8.68010045,8.68010045,8.68010045,8.68010045,1796.4
1525388940000,8.83051895,8.83051895,8.83051895,8.83051895,4717.23137438
1525392120000,8.66228293,8.66228293,8.66228293,8.66228293,888.0
1525394520000,8.69699993,8.69699993,8.69699993,8.69699993,1029.0
1525394700000,8.61427856,8.61427856,8.61427856,8.61427856,8612.38795343
1525412640000,8.71474479,8.71474479,8.71474479,8.71474479,149.7
1525412760000,8.88814542,8.88814542,8.88814542,8.88814542,225.0
1525419600000,8.72239992,8.72239992,8.72239992,8.72239992,627.61260203
1525422960000,8.63399983,8.63399983,8.63399983,8.63399983,1722.36192041
1525431780000,8.66249081,8.71730222,8.71730222,8.66249081,2425.52891356
1525443420000,8.42877451,8.42877451,8.42877451,8.42877451,888.0
1525443480000,8.41785641,8.41785641,8.41785641,8.41785641,2960.0
1525446180000,8.77525776,8.77525776,8.77525776,8.77525776,1486.10396
1525446240000,8.89531726,8.89531726,8.89531726,8.89531726,19691.691691699998
1525446360000,8.87305168,8.87305168,8.87305168,8.87305168,576.56079072
1525446780000,8.78890958,8.78890958,8.78890958,8.78890958,1776.0
1525450440000,8.55427933,8.55427933,8.55427933,8.55427933,1405.19549
1525450980000,8.62535572,8.62535572,8.62535572,8.62535572,1393.61612
1525462380000,8.75391028,8.75391028,8.75391028,8.75391028,1201.08261
