time,open,close,high,low,volume
1539882300000,1.05e-05,1.05e-05,1.05e-05,1.05e-05,68010.0
1539882360000,9.5e-06,9.5e-06,9.5e-06,9.5e-06,17863.98
1539882420000,9.5e-06,9.5e-06,9.5e-06,9.5e-06,60504.44105263
1539882480000,9e-06,7.699999999999999e-06,9e-06,7.699999999999999e-06,281555.55555556
1539882540000,7.699999999999999e-06,6.97e-06,7.699999999999999e-06,6.97e-06,508759.64167650003
1539882660000,9e-06,9e-06,9e-06,9e-06,35.27555555
1539884100000,9.25e-06,9.25e-06,9.25e-06,9.25e-06,40026.73796791
1539884340000,1.056e-05,1.058e-05,1.058e-05,1.056e-05,35500.0
1539884400000,1.058e-05,1.036e-05,1.06e-05,1.036e-05,110928.57142858
1539884460000,1.036e-05,1.026e-05,1.036e-05,1.026e-05,106928.57142858
1539884520000,1.026e-05,1e-05,1.026e-05,1e-05,94408.85714284
1539884580000,9.88e-06,1e-05,1e-05,9.78e-06,86453.78787803999
1539884760000,1.012e-05,1.1e-05,1.1e-05,1.012e-05,108099.36843088
1539885120000,1.063e-05,1.075e-05,1.075e-05,1.063e-05,200000.0
1539885360000,1.06e-05,1.06e-05,1.06e-05,1.06e-05,103119.15412606
1539885420000,1.07e-05,1.06e-05,1.07e-05,1.06e-05,108382.74406169998
1539885480000,1.07e-05,1.079e-05,1.079e-05,1.07e-05,86273.72987974
1539885780000,1.076e-05,1.076e-05,1.076e-05,1.076e-05,19799.44628644
1539885900000,1.07e-05,1.07e-05,1.07e-05,1.07e-05,10941.83116254
1539885960000,1.07e-05,1.07e-05,1.07e-05,1.07e-05,11058.16883746
1539886320000,1.077e-05,1.113e-05,1.113e-05,1.077e-05,484577.4763062
1539886380000,1.113e-05,1.113e-05,1.113e-05,1.113e-05,40.0
1539886440000,1.113e-05,1.113e-05,1.113e-05,1.113e-05,3.0
1539886920000,1.119e-05,1.119e-05,1.119e-05,1.119e-05,21600.0
1539887340000,1.121e-05,1.121e-05,1.121e-05,1.121e-05,19600.0
1539887520000,1.123e-05,1.133e-05,1.133e-05,1.123e-05,103412.49812729
1539887640000,1.135e-05,1.135e-05,1.135e-05,1.135e-05,8108.98678414
1539888240000,1.133e-05,1.133e-05,1.133e-05,1.133e-05,120661.0
1539888300000,1.133e-05,1.12e-05,1.133e-05,1.12e-05,60042.16824517
1539888660000,1.118e-05,1.108e-05,1.118e-05,1.108e-05,110382.83175483
1539888720000,1.108e-05,1.1e-05,1.108e-05,1.1e-05,94400.0
1539889020000,1.111e-05,1.111e-05,1.111e-05,1.111e-05,20000.0
1539889440000,1.102e-05,1.1e-05,1.102e-05,1.1e-05,24817.16824516
1539889560000,1.098e-05,1.095e-05,1.098e-05,1.095e-05,55605.9598372
1539890580000,1.095e-05,1.075e-05,1.095e-05,1.075e-05,285213.3838
1539891120000,1.085e-05,1.085e-05,1.085e-05,1.085e-05,3275.48020209
1539891900000,1.076e-05,1.076e-05,1.076e-05,1.076e-05,19400.0
1539891960000,1.076e-05,1.076e-05,1.076e-05,1.076e-05,22200.0
1539892020000,1.076e-05,1.076e-05,1.076e-05,1.076e-05,19400.0
1539892080000,1.076e-05,1.076e-05,1.076e-05,1.076e-05,6065.83
1539892440000,1.087e-05,1.089e-05,1.089e-05,1.087e-05,31675.48020209
1539893760000,1.089e-05,1.089e-05,1.089e-05,1.089e-05,40000.0
1539894720000,1.088e-05,1.088e-05,1.088e-05,1.088e-05,45000.0
1539895140000,1.0800000000000002e-05,1.0800000000000002e-05,1.0800000000000002e-05,1.0800000000000002e-05,4271.4254602
1539895860000,1.0800000000000002e-05,1.0800000000000002e-05,1.0800000000000002e-05,1.0800000000000002e-05,12951.72444445
1539896280000,1.089e-05,1.091e-05,1.091e-05,1.089e-05,78363.91184573
1539899340000,1.0800000000000002e-05,1.078e-05,1.0800000000000002e-05,1.078e-05,23576.85009535
1539902820000,1.076e-05,1.076e-05,1.076e-05,1.076e-05,17600.0
1539902940000,1.074e-05,1.066e-05,1.074e-05,1.066e-05,79796.0
1539904020000,1.066e-05,1.046e-05,1.066e-05,1.046e-05,459415.0
1539905820000,1.044e-05,1.044e-05,1.044e-05,1.044e-05,70200.0
1539905880000,1.042e-05,1.042e-05,1.042e-05,1.042e-05,79999.99711877
1539906120000,1.042e-05,1.048e-05,1.048e-05,1.04e-05,194948.15
1539906180000,1.05e-05,1.05e-05,1.05e-05,1.05e-05,17800.0
1539906900000,1.052e-05,1.052e-05,1.052e-05,1.052e-05,2853.9450623000002
1539910860000,1.043e-05,1.043e-05,1.043e-05,1.043e-05,93243.23738687
1539911040000,1.042e-05,1.018e-05,1.042e-05,1.018e-05,687420.54261313
1539912780000,1.0300000000000001e-05,1.0300000000000001e-05,1.0300000000000001e-05,1.0300000000000001e-05,17417.41741742
1539913440000,1.0300000000000001e-05,1.031e-05,1.031e-05,1.0300000000000001e-05,21699.33551014
1539913620000,1.032e-05,1.032e-05,1.032e-05,1.032e-05,19399.999995
1539913800000,1.032e-05,1.033e-05,1.033e-05,1.032e-05,20139.12362563
1539914100000,1.034e-05,1.034e-05,1.034e-05,1.034e-05,18799.999995
1539915780000,1.028e-05,1.021e-05,1.028e-05,1.021e-05,200000.0
1539915840000,1.022e-05,1.0199999999999999e-05,1.022e-05,1.0199999999999999e-05,100000.0
1539915900000,1.0199999999999999e-05,1.008e-05,1.0199999999999999e-05,1.008e-05,100000.0
1539915960000,1.011e-05,1.011e-05,1.011e-05,1.011e-05,100000.0
1539916080000,1.008e-05,9.96e-06,1.008e-05,9.96e-06,200000.0
1539916140000,1e-05,9.86e-06,1e-05,9.86e-06,300000.0
1539916680000,9.88e-06,9.72e-06,9.88e-06,9.72e-06,400000.0
1539916800000,9.699999999999999e-06,9.62e-06,9.699999999999999e-06,9.62e-06,200000.0
1539916860000,9.62e-06,9.4e-06,9.62e-06,9.4e-06,400000.0
1539916920000,9.46e-06,9.41e-06,9.46e-06,9.41e-06,200000.0
1539916980000,9.39e-06,9.32e-06,9.39e-06,9.32e-06,200000.0
1539917040000,9.3e-06,9.1e-06,9.3e-06,9.1e-06,400000.0
1539917100000,9.08e-06,8.88e-06,9.08e-06,8.88e-06,400000.0
1539917220000,8.88e-06,8.76e-06,8.88e-06,8.76e-06,200000.0
1539917400000,9.08e-06,9.13e-06,9.13e-06,9.08e-06,165181.03525203
1539917460000,9.13e-06,8.95e-06,9.13e-06,8.95e-06,49474.41491226
1539917520000,9.36e-06,8.83e-06,9.36e-06,8.83e-06,61839.07063033
1539917580000,8.83e-06,9.46e-06,9.46e-06,8.83e-06,222400.0
1539917700000,8.87e-06,8.87e-06,8.89e-06,8.87e-06,144400.0
1539917820000,8.87e-06,8.87e-06,8.87e-06,8.87e-06,200000.0
1539918000000,8.91e-06,8.91e-06,8.91e-06,8.91e-06,17200.0
1539918120000,8.93e-06,9.01e-06,9.01e-06,8.93e-06,116920.94905277
1539918300000,9.02e-06,9.02e-06,9.02e-06,9.02e-06,36579.51802727
1539918360000,9.02e-06,9.13e-06,9.13e-06,9.02e-06,260188.81352521
1539918420000,9.14e-06,9.14e-06,9.14e-06,9.14e-06,6420.93224044
1539918600000,9.14e-06,9.14e-06,9.14e-06,9.14e-06,34289.96989988
1539919380000,9.07e-06,9.07e-06,9.07e-06,9.07e-06,200000.0
1539919440000,9.06e-06,8.98e-06,9.06e-06,8.98e-06,100000.0
1539919500000,8.98e-06,9e-06,9e-06,8.97e-06,900000.0
1539919560000,8.97e-06,8.97e-06,8.97e-06,8.97e-06,300000.0
1539919620000,8.97e-06,8.900000000000001e-06,8.97e-06,8.900000000000001e-06,100000.0
1539920820000,8.97e-06,8.97e-06,8.97e-06,8.97e-06,22399.999995
1539920880000,8.91e-06,8.900000000000001e-06,8.91e-06,8.900000000000001e-06,300000.0
1539920940000,8.91e-06,8.95e-06,8.95e-06,8.78e-06,412263.25963358
1539921000000,8.8e-06,8.84e-06,8.84e-06,8.72e-06,424888.93061068
1539921060000,8.84e-06,8.87e-06,8.87e-06,8.84e-06,268688.93061068
1539921120000,8.89e-06,8.91e-06,8.91e-06,8.89e-06,27618.14814815
1539921180000,8.76e-06,8.76e-06,8.76e-06,8.76e-06,100000.0
